Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO
"2024-10-04 - NJ 4, BUF 1",BUF,50.41,45.59,37.43,34.91,22.68,21.04,0.92,3.18,2.24,2.33,24.18,22.59,10.37,8.08,4.37,2.25,0.91,1.07,13.54,14.68,4.42,7.45,0.0,1.05,37.24,23.95,12.88,11.5,0.0,1.11,0.889
"2024-10-04 - NJ 4, BUF 1",NJ,45.59,50.41,34.91,37.43,21.04,22.68,3.18,0.92,2.33,2.24,22.59,24.18,8.08,10.37,2.25,4.37,1.07,0.91,14.68,13.54,7.45,4.42,1.05,0.0,23.95,37.24,11.5,12.88,1.11,0.0,1.111
"2024-10-05 - BUF 1, NJ 3",NJ,42.12,55.72,35.15,35.48,25.49,16.1,1.93,1.06,2.44,1.45,18.13,17.74,10.36,7.51,5.8,3.16,1.93,1.06,7.72,10.18,6.8,1.03,0.0,0.0,25.87,34.91,11.98,10.64,0.0,0.0,1.01
"2024-10-05 - BUF 1, NJ 3",BUF,55.72,42.12,35.48,35.15,16.1,25.49,1.06,1.93,1.45,2.44,17.74,18.13,7.51,10.36,3.16,5.8,1.06,1.93,10.18,7.72,1.03,6.8,0.0,0.0,34.91,25.87,10.64,11.98,0.0,0.0,0.99
"2024-10-08 - STL 3, SEA 2",SEA,63.78,51.08,45.38,37.66,29.57,23.29,1.93,2.07,3.29,1.68,36.64,17.83,20.02,6.42,11.52,4.2,1.93,1.06,16.47,11.41,3.94,7.2,0.0,0.0,32.41,44.43,12.05,10.74,0.0,0.94,0.977
"2024-10-08 - STL 3, SEA 2",STL,51.08,63.78,37.66,45.38,23.29,29.57,2.07,1.93,1.68,3.29,17.83,36.64,6.42,20.02,4.2,11.52,1.06,1.93,11.41,16.47,7.2,3.94,0.0,0.0,44.43,32.41,10.74,12.05,0.94,0.0,1.023
"2024-10-08 - BOS 4, FLA 6",FLA,57.61,29.76,43.62,23.86,28.29,13.78,4.91,2.01,4.03,2.4,31.36,17.12,16.36,6.76,10.32,4.76,3.87,1.02,15.09,10.16,7.21,4.82,1.0,1.0,21.62,13.61,9.52,4.26,0.0,0.0,1.028
"2024-10-08 - BOS 4, FLA 6",BOS,29.76,57.61,23.86,43.62,13.78,28.29,2.01,4.91,2.4,4.03,17.12,31.36,6.76,16.36,4.76,10.32,1.02,3.87,10.16,15.09,4.82,7.21,1.0,1.0,13.61,21.62,4.26,9.52,0.0,0.0,0.972
"2024-10-08 - CHI 2, UHC 5",UHC,57.81,54.12,40.07,37.04,25.32,22.82,3.9,2.02,2.65,2.76,28.6,20.62,12.08,9.92,9.2,6.85,1.95,2.06,16.76,10.62,8.16,4.01,0.98,0.0,28.12,37.39,6.59,11.67,0.95,0.0,1.066
"2024-10-08 - CHI 2, UHC 5",CHI,54.12,57.81,37.04,40.07,22.82,25.32,2.02,3.9,2.76,2.65,20.62,28.6,9.92,12.08,6.85,9.2,2.06,1.95,10.62,16.76,4.01,8.16,0.0,0.98,37.39,28.12,11.67,6.59,0.0,0.95,0.934
"2024-10-09 - TOR 0, MTL 1",MTL,34.28,81.27,21.6,63.0,18.5,38.86,0.0,0.0,1.56,4.94,18.03,38.93,2.99,18.05,2.02,6.94,0.0,0.0,15.29,20.62,10.94,10.08,0.0,0.0,13.67,39.53,4.22,17.72,0.0,0.0,1.0
"2024-10-09 - TOR 0, MTL 1",TOR,81.27,34.28,63.0,21.6,38.86,18.5,0.0,0.0,4.94,1.56,38.93,18.03,18.05,2.99,6.94,2.02,0.0,0.0,20.62,15.29,10.08,10.94,0.0,0.0,39.53,13.67,17.72,4.22,0.0,0.0,1.0
"2024-10-09 - NYR 6, PIT 0",PIT,54.25,66.03,39.08,56.09,24.32,38.63,0.0,5.35,2.49,4.91,24.3,37.79,10.29,23.18,4.29,18.65,0.0,3.22,13.7,14.98,7.28,6.62,0.0,2.08,35.07,29.97,12.54,13.7,0.0,0.0,0.862
"2024-10-09 - NYR 6, PIT 0",NYR,66.03,54.25,56.09,39.08,38.63,24.32,5.35,0.0,4.91,2.49,37.79,24.3,23.18,10.29,18.65,4.29,3.22,0.0,14.98,13.7,6.62,7.28,2.08,0.0,29.97,35.07,13.7,12.54,0.0,0.0,1.138
"2024-10-09 - WPG 6, EDM 0",EDM,58.65,41.65,36.54,31.07,23.86,19.96,0.0,4.26,2.17,2.24,27.97,19.88,7.89,4.36,5.39,3.22,0.0,0.0,19.75,15.68,6.27,5.44,0.0,3.06,35.72,18.84,11.28,6.63,0.0,1.12,0.786
"2024-10-09 - WPG 6, EDM 0",WPG,41.65,58.65,31.07,36.54,19.96,23.86,4.26,0.0,2.24,2.17,19.88,27.97,4.36,7.89,3.22,5.39,0.0,0.0,15.68,19.75,5.44,6.27,3.06,0.0,18.84,35.72,6.63,11.28,1.12,0.0,1.214
"2024-10-09 - CGY 6, VAN 5",VAN,49.72,44.05,29.44,34.12,18.53,19.99,1.97,3.08,2.15,1.4,26.27,17.51,13.0,6.13,5.07,3.06,1.93,1.06,13.3,11.08,4.94,4.73,0.0,2.02,24.2,30.49,8.55,11.92,0.0,0.0,0.953
"2024-10-09 - CGY 6, VAN 5",CGY,44.05,49.72,34.12,29.44,19.99,18.53,3.08,1.97,1.4,2.15,17.51,26.27,6.13,13.0,3.06,5.07,1.06,1.93,11.08,13.3,4.73,4.94,2.02,0.0,30.49,24.2,11.92,8.55,0.0,0.0,1.047
"2024-10-09 - COL 4, VGK 8",VGK,33.05,44.67,23.35,31.46,17.13,24.6,4.83,3.09,1.19,1.79,14.8,18.06,3.82,6.18,2.84,4.07,0.94,0.0,11.18,11.64,6.96,4.98,2.86,2.08,15.71,27.42,4.15,14.39,0.89,0.93,1.156
