Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2024-10-10 - DAL 4, NSH 3",NSH,32.69,37.97,26.99,26.31,16.03,18.62,0.92,3.18,1.09,1.62,12.39,17.68,5.2,6.71,3.44,4.45,0.91,0.0,7.02,11.06,3.68,3.22,0.0,2.09,25.68,21.34,6.89,9.9,0.0,1.12,0.886,2024-10-10,DAL,4,NSH,3,Lost,
"2024-10-12 - NSH 0, DET 3",NSH,59.26,33.99,36.4,24.48,24.72,16.31,0.0,1.93,2.26,1.56,26.29,17.77,9.32,7.79,4.09,5.93,0.0,1.93,16.73,10.11,4.01,3.94,0.0,0.0,42.1,19.78,16.31,5.35,0.0,0.0,0.882,2024-10-12,NSH,0,DET,3,Won,1.0
"2024-10-15 - SEA 7, NSH 3",NSH,37.32,45.56,25.48,38.34,19.41,28.12,1.87,6.37,0.99,1.92,14.16,20.99,3.49,9.95,2.62,7.67,1.85,3.19,10.49,11.29,3.66,6.46,0.0,2.08,29.39,27.43,11.04,12.83,0.0,1.05,0.87,2024-10-15,SEA,7,NSH,3,Lost,2.0
"2024-10-17 - EDM 4, NSH 2",NSH,37.06,57.19,27.06,43.82,17.82,31.11,0.94,3.12,1.25,3.16,12.87,27.72,5.4,14.05,1.83,12.88,0.94,2.12,7.39,13.81,4.77,5.23,0.0,0.0,27.95,35.98,10.33,12.07,0.0,0.94,0.953,2024-10-17,EDM,4,NSH,2,Lost,1.0
"2024-10-19 - DET 5, NSH 2",NSH,57.91,37.6,43.62,29.03,29.21,17.48,0.94,2.07,2.13,1.88,27.35,14.75,10.92,5.32,5.56,3.1,0.0,1.06,16.15,9.45,7.49,3.1,0.0,1.06,27.85,25.4,14.45,9.21,0.95,0.0,0.914,2024-10-19,DET,5,NSH,2,Lost,1.0
"2024-10-22 - BOS 0, NSH 4",NSH,54.34,35.74,40.1,26.74,30.99,22.92,1.97,0.0,2.66,1.47,23.97,12.6,7.92,6.93,3.97,6.83,0.99,0.0,16.37,5.6,5.05,0.97,0.98,0.0,35.37,20.57,20.42,11.85,0.0,0.0,1.064,2024-10-22,BOS,0,NSH,4,Won,2.0
"2024-10-25 - NSH 3, CHI 2",NSH,47.84,42.34,34.33,29.62,24.42,19.29,1.01,1.93,2.42,1.47,19.99,14.83,10.08,7.8,7.97,5.86,1.04,1.93,9.89,7.05,7.02,2.99,0.0,0.0,29.82,22.18,7.55,6.43,0.0,0.0,0.941,2024-10-25,NSH,3,CHI,2,Lost,2.0
"2024-10-26 - CBJ 3, NSH 4",NSH,52.3,47.02,37.54,33.29,22.62,22.88,1.85,3.19,2.07,1.52,22.36,21.14,10.01,6.5,4.61,6.44,0.0,1.08,12.3,14.57,7.68,4.11,0.96,1.05,32.77,26.02,10.22,11.33,0.89,1.05,0.942,2024-10-26,CBJ,3,NSH,4,Won,0.0
"2024-10-28 - NSH 2, TB 3",NSH,36.59,50.94,30.01,31.85,24.0,19.79,1.01,1.93,1.37,1.97,15.23,23.36,5.19,10.61,5.13,8.76,1.01,1.93,9.9,12.83,6.04,3.89,0.0,0.0,29.5,29.18,10.77,7.05,0.0,0.0,0.945,2024-10-28,NSH,2,TB,3,Won,1.0
"2024-10-31 - EDM 5, NSH 1",NSH,42.96,54.05,27.22,40.4,19.48,29.51,0.0,5.32,1.37,2.43,26.2,28.56,7.64,9.92,3.33,4.35,0.0,2.12,18.15,18.88,6.42,10.82,0.0,3.05,25.56,27.57,8.64,12.09,0.0,0.0,0.82,2024-10-31,EDM,5,NSH,1,Lost,2.0
"2024-11-02 - COL 2, NSH 5",NSH,45.29,49.86,31.96,30.38,20.96,24.13,0.94,0.0,2.47,1.28,18.66,19.64,13.58,5.3,6.84,5.25,0.94,0.0,4.91,14.18,1.97,5.13,0.0,0.0,29.09,31.11,10.07,12.38,0.0,0.0,1.045,2024-11-02,COL,2,NSH,5,Won,1.0
"2024-11-04 - LA 3, NSH 0",NSH,28.76,45.55,21.82,33.54,13.73,20.34,0.0,2.13,1.05,2.67,14.5,20.57,7.14,9.86,2.66,4.33,0.0,1.08,7.25,10.82,2.83,5.32,0.0,1.05,15.23,25.88,8.16,9.57,0.0,0.0,0.895,2024-11-04,LA,3,NSH,0,Lost,1.0
"2024-11-06 - NSH 2, WSH 3",NSH,67.15,53.07,48.87,38.58,26.48,28.96,2.07,2.81,3.21,3.9,31.13,29.33,13.6,13.92,8.31,8.45,2.07,1.86,17.47,15.37,6.12,8.7,0.0,0.95,40.16,29.21,11.15,10.76,0.0,0.0,0.981,2024-11-06,NSH,2,WSH,3,Won,1.0
"2024-11-07 - NSH 2, FLA 6",NSH,20.74,43.74,14.72,34.26,7.3,25.63,1.0,3.91,0.72,1.85,9.62,20.56,5.88,8.09,1.9,7.15,1.02,1.92,3.75,12.64,0.94,7.11,0.0,0.94,7.97,24.6,2.55,10.34,0.0,1.07,0.985,2024-11-07,NSH,2,FLA,6,Won,0.0
"2024-11-09 - UHC 0, NSH 4",NSH,29.55,43.21,22.59,35.04,13.97,21.18,0.99,0.0,0.8,1.53,10.32,21.1,1.01,5.92,1.03,3.87,0.96,0.0,9.58,14.74,4.08,5.71,0.0,0.0,20.09,26.45,8.0,11.22,0.0,0.0,1.071,2024-11-09,UHC,0,NSH,4,Won,1.0
"2024-11-11 - NSH 2, COL 3",NSH,58.8,50.88,36.53,33.34,24.94,23.97,1.01,1.87,3.37,1.79,30.77,21.6,17.03,5.61,8.3,4.73,1.01,0.0,13.92,15.94,8.39,6.7,0.0,0.0,30.08,29.08,8.37,10.67,0.0,1.84,0.963,2024-11-11,NSH,2,COL,3,Won,1.0
"2024-11-14 - NSH 2, EDM 3",NSH,38.16,43.01,27.93,35.98,21.41,26.02,2.07,0.94,1.41,2.27,14.7,22.35,5.31,9.73,3.16,6.88,0.0,0.0,9.39,12.62,5.11,8.74,2.11,0.0,23.24,24.25,10.12,10.41,0.0,0.95,1.06,2024-11-14,NSH,2,EDM,3,Won,2.0
