Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2024-10-09 - CGY 6, VAN 5",CGY,44.05,49.72,34.12,29.44,19.99,18.53,3.08,1.97,1.4,2.15,17.51,26.27,6.13,13.0,3.06,5.07,1.06,1.93,11.08,13.3,4.73,4.94,2.02,0.0,30.49,24.2,11.92,8.55,0.0,0.0,1.047,2024-10-09,CGY,6,VAN,5,Lost,
"2024-10-12 - PHI 3, CGY 6",CGY,43.46,49.77,32.41,40.14,26.15,27.01,2.92,1.01,2.38,2.06,24.26,20.78,15.0,10.17,11.12,7.09,1.91,1.04,9.25,10.43,3.99,5.9,0.94,0.0,21.52,35.05,7.76,11.13,0.0,0.0,1.074,2024-10-12,PHI,3,CGY,6,Won,2.0
"2024-10-13 - CGY 4, EDM 1",CGY,54.45,50.53,36.76,34.77,24.68,22.28,3.14,0.94,2.73,1.9,30.58,21.83,14.41,7.48,7.33,5.59,2.14,0.94,16.09,14.36,8.24,3.94,1.06,0.0,25.42,28.29,8.33,10.66,0.0,0.0,1.085,2024-10-13,CGY,4,EDM,1,Lost,0.0
"2024-10-15 - CHI 1, CGY 3",CGY,41.59,55.84,26.67,38.35,19.88,28.16,0.94,1.01,1.72,2.0,21.2,27.69,8.41,4.07,3.78,1.98,0.94,1.01,12.84,23.28,5.91,12.27,0.0,0.0,28.31,34.6,10.22,12.82,0.0,0.0,1.012,2024-10-15,CHI,1,CGY,3,Won,1.0
"2024-10-19 - CGY 1, SEA 2",CGY,52.26,38.13,39.69,24.9,18.7,16.33,0.0,0.0,3.11,1.0,24.28,8.45,12.83,3.69,7.38,0.0,0.0,0.0,11.55,4.74,4.16,3.84,0.0,0.0,28.15,37.39,6.17,10.67,0.0,0.0,1.0,2024-10-19,CGY,1,SEA,2,Won,3.0
"2024-10-22 - PIT 3, CGY 4",CGY,34.32,51.06,19.99,42.94,13.35,31.56,1.87,2.11,1.14,2.83,12.2,23.96,5.62,14.89,2.84,9.48,0.94,1.06,6.51,9.14,3.8,4.04,0.0,0.0,20.18,34.88,4.85,16.03,0.89,1.05,1.073,2024-10-22,PIT,3,CGY,4,Won,2.0
"2024-10-24 - CAR 4, CGY 2",CGY,40.94,75.58,27.96,53.2,21.86,39.89,1.87,2.13,1.83,3.49,15.25,42.29,6.05,15.98,4.36,11.4,0.93,2.15,9.13,26.61,4.75,12.84,0.0,0.0,28.11,43.94,10.75,14.76,0.88,0.0,1.032,2024-10-24,CAR,4,CGY,2,Lost,1.0
"2024-10-26 - WPG 5, CGY 3",CGY,48.29,51.01,34.41,33.76,22.42,25.25,2.79,1.06,1.36,1.54,14.72,14.96,5.45,5.33,3.61,4.22,0.0,0.0,9.15,9.73,6.63,7.33,1.91,0.0,30.69,32.5,11.22,9.39,0.89,1.05,1.083,2024-10-26,WPG,5,CGY,3,Lost,1.0
"2024-10-28 - CGY 0, VGK 5",CGY,48.97,66.63,25.59,41.48,12.36,35.05,0.0,4.91,1.01,2.53,19.7,26.81,3.04,7.21,0.0,6.27,0.0,1.94,16.24,19.94,3.97,10.16,0.0,2.89,26.88,43.27,8.02,15.47,0.0,0.0,0.86,2024-10-28,CGY,0,VGK,5,Won,1.0
"2024-10-30 - CGY 1, UHC 5",CGY,39.64,52.28,28.42,30.33,22.88,17.83,1.01,1.93,1.53,1.28,17.43,17.14,4.96,3.03,3.92,1.05,0.0,0.0,12.04,14.41,7.78,6.03,1.02,0.0,21.13,32.72,9.31,8.8,0.0,2.01,0.936,2024-10-30,CGY,1,UHC,5,Won,1.0
"2024-11-01 - NJ 0, CGY 3",CGY,43.83,37.82,32.98,21.54,25.33,15.42,1.93,0.0,1.22,1.23,19.08,11.53,4.74,7.46,3.85,5.27,1.93,0.0,14.48,4.14,8.74,1.03,0.0,0.0,29.41,27.32,11.83,7.1,0.0,0.0,1.076,2024-11-01,NJ,0,CGY,3,Won,1.0
"2024-11-03 - EDM 4, CGY 2",CGY,53.21,53.37,34.36,37.51,23.77,30.68,0.92,2.13,2.03,2.19,26.02,29.78,10.76,5.55,5.5,4.41,0.0,2.14,14.87,24.56,8.3,9.7,0.0,0.0,26.59,30.05,9.9,13.33,0.89,0.0,0.969,2024-11-03,EDM,4,CGY,2,Lost,1.0
"2024-11-05 - CGY 3, MTL 2",CGY,70.82,45.55,49.34,34.91,32.84,18.53,2.07,0.0,3.38,2.34,29.1,30.6,12.47,8.54,8.24,3.85,1.06,0.0,16.63,22.21,7.23,6.83,1.06,0.0,41.35,24.96,14.27,7.8,0.0,0.0,1.063,2024-11-05,CGY,3,MTL,2,Lost,1.0
"2024-11-07 - CGY 3, BOS 4",CGY,45.88,45.11,34.14,30.39,27.89,25.39,2.02,2.88,1.88,1.88,21.38,19.88,7.18,7.87,4.01,5.94,0.0,1.93,14.04,12.2,8.09,7.99,1.06,0.95,22.94,29.74,10.73,11.41,0.94,0.0,0.959,2024-11-07,CGY,3,BOS,4,Won,1.0
"2024-11-09 - CGY 2, BUF 3",CGY,44.13,39.82,30.56,27.09,20.19,13.47,2.03,0.94,1.25,1.68,21.73,19.12,7.05,7.97,4.01,4.01,1.04,0.94,14.39,11.29,5.99,3.05,0.0,0.0,26.53,25.53,9.1,5.29,0.94,0.0,1.03,2024-11-09,CGY,2,BUF,3,Won,1.0
"2024-11-11 - LA 1, CGY 3",CGY,51.24,71.85,32.93,39.75,22.13,26.1,1.93,0.0,1.41,2.2,22.53,27.65,5.76,8.06,3.86,4.87,0.0,0.0,17.02,19.14,6.88,3.95,1.89,0.0,24.07,43.89,10.59,15.05,0.0,0.0,1.087,2024-11-11,LA,1,CGY,3,Won,1.0
"2024-11-12 - CGY 1, VAN 3",CGY,37.91,44.94,25.72,36.72,20.66,27.91,1.06,1.93,1.49,2.3,17.25,19.38,4.18,5.69,4.14,5.76,1.06,0.0,12.88,13.81,5.09,5.88,0.0,0.95,21.66,31.27,10.08,16.47,0.0,1.06,0.982,2024-11-12,CGY,1,VAN,3,Won,0.0
"2024-11-15 - NSH 0, CGY 2",CGY,50.89,57.07,38.02,40.58,21.63,25.23,0.94,0.0,1.64,2.77,25.8,29.81,4.74,10.39,3.85,5.13,0.0,0.0,21.3,19.25,8.74,10.21,0.95,0.0,34.61,28.98,8.07,7.01,0.0,0.0,1.044,2024-11-15,NSH,0,CGY,2,Won,2.0
"2024-11-19 - NYI 1, CGY 2",CGY,52.5,44.83,31.21,36.16,21.06,28.53,0.0,1.06,2.09,2.13,23.22,21.59,11.01,7.66,7.45,6.5,0.0,0.0,12.05,14.03,0.93,8.4,0.0,1.05,32.01,25.16,11.66,9.3,0.0,0.0,0.963,2024-11-19,NYI,1,CGY,2,Won,3.0
