Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2024-10-09 - COL 4, VGK 8",VGK,33.05,44.67,23.35,31.46,17.13,24.6,4.83,3.09,1.19,1.79,14.8,18.06,3.82,6.18,2.84,4.07,0.94,0.0,11.18,11.64,6.96,4.98,2.86,2.08,15.71,27.42,4.15,14.39,0.89,0.93,1.156,2024-10-09,COL,4,VGK,8,Won,
"2024-10-11 - STL 3, VGK 4",VGK,43.05,42.09,32.35,28.65,25.34,20.67,3.84,2.07,2.25,1.54,21.76,14.14,12.68,6.08,9.86,6.01,3.84,1.06,9.1,7.94,1.99,5.03,0.0,1.02,21.83,33.97,11.48,8.61,0.0,0.0,1.052,2024-10-11,STL,3,VGK,4,Won,1.0
"2024-10-13 - ANA 1, VGK 3",VGK,47.98,57.65,38.02,36.21,23.52,21.11,1.93,1.01,2.32,3.05,23.95,27.85,10.34,14.65,3.85,7.3,1.93,0.0,13.63,13.22,8.77,6.09,0.0,1.06,27.6,30.43,10.94,7.84,0.0,0.0,1.034,2024-10-13,ANA,1,VGK,3,Won,1.0
"2024-10-15 - VGK 2, WSH 4",VGK,39.09,44.73,28.45,29.34,18.92,15.61,1.0,2.92,1.44,2.98,14.81,27.58,7.14,12.11,1.94,4.09,1.02,1.95,7.55,15.65,4.93,6.07,0.0,0.95,25.41,16.88,9.75,3.2,0.0,0.0,0.866,2024-10-15,VGK,2,WSH,4,Won,1.0
"2024-10-17 - VGK 3, TB 4",VGK,34.06,53.3,29.34,36.01,21.59,19.51,2.11,3.71,1.54,1.99,15.36,21.15,7.77,9.82,5.51,5.38,1.06,0.92,7.74,11.25,4.24,4.77,1.05,0.96,23.02,33.2,10.84,8.35,0.0,1.84,0.907,2024-10-17,VGK,3,TB,4,Won,1.0
"2024-10-19 - VGK 3, FLA 4",VGK,52.18,69.23,36.46,46.42,23.84,37.07,3.17,1.85,2.5,3.01,23.18,26.13,13.9,9.09,7.44,7.33,2.12,0.92,9.39,17.05,4.11,7.64,1.05,0.0,30.03,45.92,10.14,20.36,0.0,0.89,1.083,2024-10-19,VGK,3,FLA,4,Won,1.0
"2024-10-22 - LA 1, VGK 6",VGK,50.45,59.21,36.59,44.6,26.94,26.86,3.96,1.0,2.73,3.26,24.2,31.6,11.3,16.54,7.3,7.65,2.92,1.02,13.05,14.97,3.15,3.76,0.98,0.0,26.4,31.36,14.63,14.04,0.0,0.0,1.11,2024-10-22,LA,1,VGK,6,Won,2.0
"2024-10-25 - OTT 4, VGK 6",VGK,40.45,59.23,29.09,48.83,20.16,34.38,3.74,3.19,1.6,2.06,16.27,17.5,5.32,5.5,3.59,4.41,1.85,1.08,10.81,12.17,4.63,7.42,0.95,2.1,29.64,44.55,10.91,20.31,0.89,0.0,1.093,2024-10-25,OTT,4,VGK,6,Won,2.0
"2024-10-26 - SJ 3, VGK 7",VGK,61.62,45.05,45.22,33.48,33.21,21.81,4.91,3.01,2.6,2.8,28.11,21.66,7.15,6.79,4.13,2.85,0.0,2.04,21.48,14.42,12.34,6.57,3.87,1.0,32.53,21.7,14.81,11.03,1.06,0.0,1.01,2024-10-26,SJ,3,VGK,7,Won,0.0
"2024-10-28 - CGY 0, VGK 5",VGK,66.63,48.97,41.48,25.59,35.05,12.36,4.91,0.0,2.53,1.01,26.81,19.7,7.21,3.04,6.27,0.0,1.94,0.0,19.94,16.24,10.16,3.97,2.89,0.0,43.27,26.88,15.47,8.02,0.0,0.0,1.14,2024-10-28,CGY,0,VGK,5,Won,1.0
"2024-10-30 - VGK 3, LA 6",VGK,43.59,49.45,35.96,40.24,20.93,25.39,2.01,4.91,1.96,1.77,18.44,17.32,6.98,7.19,3.93,4.2,1.02,0.98,11.23,10.2,5.88,7.02,1.0,0.98,31.43,29.55,8.15,12.23,0.0,3.07,0.903,2024-10-30,VGK,3,LA,6,Won,1.0
"2024-11-02 - UHC 3, VGK 4",VGK,46.35,51.94,38.44,34.83,30.13,18.83,2.82,3.14,2.69,2.92,25.85,22.73,10.68,11.02,7.96,5.44,0.92,1.01,15.09,11.82,9.68,4.16,0.95,1.05,28.6,28.21,11.44,9.2,0.88,1.11,0.927,2024-11-02,UHC,3,VGK,4,Won,2.0
"2024-11-06 - VGK 4, EDM 2",VGK,42.59,50.29,35.65,38.31,28.41,28.17,2.11,1.87,2.23,2.13,21.76,26.45,9.34,11.26,6.2,6.75,1.06,1.86,12.41,15.09,8.25,7.76,1.05,0.0,20.19,27.24,11.8,12.57,0.0,0.0,1.008,2024-11-06,VGK,4,EDM,2,Lost,3.0
"2024-11-08 - VGK 3, SEA 4",VGK,41.02,44.7,27.24,36.24,17.64,25.88,1.08,2.82,1.42,2.0,19.22,23.58,7.55,10.24,6.4,6.57,1.08,1.86,11.72,13.24,3.1,9.57,0.0,1.03,24.25,24.68,7.28,9.69,0.0,0.0,0.952,2024-11-08,VGK,3,SEA,4,Won,1.0
"2024-11-11 - CAR 5, VGK 2",VGK,40.32,62.97,28.03,49.63,23.84,28.91,0.92,3.22,1.38,2.88,13.63,30.28,6.75,13.46,5.02,7.71,0.0,2.14,6.69,17.16,5.28,6.51,0.96,1.04,27.04,33.77,12.44,11.54,0.0,0.0,0.927,2024-11-11,CAR,5,VGK,2,Lost,2.0
"2024-11-13 - VGK 3, ANA 2",VGK,63.61,44.74,45.13,35.07,32.38,18.71,2.09,1.89,2.96,2.77,27.15,24.73,9.98,10.88,9.95,5.6,2.09,0.94,17.24,13.64,7.38,6.66,0.0,1.03,39.18,20.25,12.93,4.57,0.0,0.0,0.963,2024-11-13,VGK,3,ANA,2,Lost,1.0
"2024-11-15 - VGK 4, UHC 2",VGK,37.53,73.04,29.95,45.03,24.01,31.36,1.06,0.94,2.11,3.12,21.27,31.63,7.19,11.86,3.1,9.03,0.0,0.0,13.91,20.0,9.07,7.95,1.05,0.95,16.87,38.65,10.88,14.21,0.0,0.0,1.014,2024-11-15,VGK,4,UHC,2,Lost,1.0
"2024-11-17 - WSH 5, VGK 2",VGK,58.94,65.33,43.15,46.78,28.42,25.28,0.95,3.23,3.05,1.9,27.26,24.46,11.33,6.72,7.83,2.26,0.0,0.0,15.54,18.01,3.61,6.46,1.03,3.12,42.73,35.88,14.12,11.0,0.0,0.0,0.906,2024-11-17,WSH,5,VGK,2,Lost,1.0
"2024-11-20 - VGK 0, TOR 3",VGK,57.82,44.46,32.76,31.29,23.28,17.71,0.0,0.94,1.59,2.21,19.83,23.36,6.0,9.97,2.97,6.02,0.0,0.94,13.53,13.57,7.99,5.04,0.0,0.0,40.19,21.46,11.24,6.54,0.0,0.0,0.947,2024-11-20,VGK,0,TOR,3,Won,2.0
"2024-11-21 - VGK 3, OTT 2",VGK,53.04,52.36,39.41,36.79,29.3,29.83,3.21,0.95,3.04,1.92,26.4,25.0,12.19,9.7,7.73,7.08,2.14,0.0,14.47,15.0,6.43,8.27,1.04,1.03,30.69,31.0,14.21,12.42,0.0,0.0,1.078,2024-11-21,VGK,3,OTT,2,Lost,0.0
"2024-11-23 - VGK 6, MTL 2",VGK,44.86,43.29,30.64,28.24,27.18,14.4,6.43,0.92,2.26,2.0,25.11,19.93,8.86,10.26,6.72,3.46,2.18,0.91,16.36,9.43,11.65,2.73,4.1,0.0,18.92,23.23,7.68,8.15,0.0,0.0,1.173,2024-11-23,VGK,6,MTL,2,Lost,1.0
"2024-11-25 - VGK 5, PHI 4",VGK,46.82,59.07,33.15,43.91,26.49,28.52,3.03,3.91,2.4,2.71,23.51,29.16,8.01,13.74,6.93,10.03,1.04,2.9,15.18,15.58,8.81,5.93,2.06,0.94,26.63,38.38,10.75,11.45,0.0,0.0,0.977,2024-11-25,VGK,5,PHI,4,Lost,1.0
"2024-11-27 - VGK 1, COL 2",VGK,38.13,69.72,24.77,43.49,16.45,24.23,1.06,0.92,1.31,2.56,15.73,38.01,5.33,14.9,3.16,3.72,0.0,0.92,10.34,23.17,4.11,9.71,0.0,0.0,20.48,31.23,8.11,9.86,1.05,0.0,1.026,2024-11-27,VGK,1,COL,2,Won,1.0
"2024-11-29 - WPG 3, VGK 4",VGK,41.75,42.1,30.97,36.35,23.32,20.06,3.75,3.08,1.71,1.54,18.91,14.41,10.2,9.4,6.57,5.21,2.8,2.07,8.69,5.06,3.89,1.0,0.95,0.0,27.35,26.83,11.84,12.72,0.0,0.94,1.007,2024-11-29,WPG,3,VGK,4,Won,1.0
"2024-11-30 - UHC 6, VGK 0",VGK,42.21,55.04,29.4,41.63,18.96,26.41,0.0,4.27,2.06,2.37,23.27,25.26,8.6,10.49,5.07,8.17,0.0,2.16,14.38,15.02,4.52,5.46,0.0,2.09,21.46,27.33,8.33,8.32,0.0,0.0,0.838,2024-11-30,UHC,6,VGK,0,Lost,0.0
"2024-12-03 - EDM 0, VGK 1",VGK,44.45,56.14,28.78,37.01,16.43,22.32,0.94,0.0,1.14,2.35,17.87,24.99,5.92,9.03,3.03,1.98,0.0,0.0,12.11,15.74,2.94,7.02,0.95,0.0,26.45,33.52,10.77,12.18,0.0,0.0,1.057,2024-12-03,EDM,0,VGK,1,Won,2.0
"2024-12-04 - VGK 4, ANA 1",VGK,52.96,44.9,36.01,29.86,28.04,17.35,3.21,0.95,2.66,1.42,27.42,16.19,9.87,7.13,7.63,4.46,3.22,0.0,17.85,8.88,7.49,3.71,0.0,0.0,32.95,26.88,13.03,8.24,0.0,0.88,1.06,2024-12-04,VGK,4,ANA,1,Lost,0.0
"2024-12-06 - DAL 2, VGK 3",VGK,48.22,46.22,35.43,31.06,21.37,24.19,0.99,1.01,1.82,2.37,20.91,23.14,4.94,12.27,1.95,7.01,0.0,1.01,16.29,10.82,7.98,6.96,0.94,0.0,27.76,27.44,8.31,8.32,0.0,0.0,1.004,2024-12-06,DAL,2,VGK,3,Won,1.0
"2024-12-12 - VGK 3, WPG 2",VGK,72.86,37.77,50.16,24.24,29.33,17.15,1.01,1.89,2.97,0.98,30.07,9.83,16.17,3.8,7.99,2.9,0.0,0.94,13.79,6.08,6.02,0.0,1.06,0.0,43.14,27.16,14.3,12.65,0.0,0.95,0.924,2024-12-12,VGK,3,WPG,2,Lost,5.0
"2024-12-14 - VGK 3, EDM 6",VGK,66.69,51.01,46.73,38.6,29.6,32.42,2.01,4.95,3.13,2.98,40.17,25.57,15.79,12.1,7.61,9.25,1.02,3.9,24.09,13.55,12.49,9.09,1.0,1.0,34.09,24.21,9.66,10.78,0.0,0.0,0.915,2024-12-14,VGK,3,EDM,6,Won,1.0
"2024-12-15 - VGK 3, MIN 2",VGK,57.66,45.05,38.19,31.34,26.87,21.18,2.11,1.87,1.54,1.86,18.89,22.48,4.19,9.2,2.1,5.62,0.0,0.94,14.62,13.19,9.36,3.89,2.1,0.0,47.23,18.86,14.18,11.58,0.0,0.89,0.99,2024-12-15,VGK,3,MIN,2,Lost,0.0
"2024-12-19 - VAN 1, VGK 3",VGK,43.4,47.03,28.6,25.6,17.27,17.42,1.87,1.06,1.83,2.06,20.78,21.04,8.21,7.56,4.61,6.44,0.94,1.06,12.58,13.49,5.82,5.18,0.0,0.0,20.47,23.35,5.65,4.88,0.89,0.0,1.048,2024-12-19,VAN,1,VGK,3,Won,3.0
