Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2024-10-10 - CBJ 2, MIN 3",CBJ,47.47,32.43,30.92,26.08,21.86,20.11,1.01,1.89,1.64,1.47,17.42,15.91,6.33,5.87,4.15,4.94,0.0,0.0,10.98,10.21,5.04,4.99,1.06,0.95,28.51,24.05,8.71,10.13,0.0,0.95,0.952,2024-10-10,CBJ,2,MIN,3,Won,
"2024-10-12 - CBJ 6, COL 4",CBJ,45.16,49.26,31.19,32.55,22.0,20.38,5.34,0.95,1.83,2.03,23.27,22.96,13.44,10.54,7.79,7.83,2.14,0.93,10.03,12.08,6.42,1.81,1.05,0.0,24.93,28.63,7.96,9.62,2.22,0.0,1.196,2024-10-12,CBJ,6,COL,4,Lost,1.0
"2024-10-15 - FLA 4, CBJ 3",CBJ,47.51,38.23,37.78,25.1,26.33,18.7,0.94,4.16,2.0,1.21,19.07,15.69,8.49,3.25,6.63,3.22,0.94,2.14,10.54,12.37,4.93,4.15,0.0,1.06,34.97,31.2,13.68,10.31,0.0,0.94,0.814,2024-10-15,FLA,4,CBJ,3,Lost,2.0
"2024-10-17 - BUF 4, CBJ 6",CBJ,38.33,35.58,28.23,24.23,21.95,13.99,4.94,3.04,1.75,1.7,13.31,13.54,7.02,9.89,5.08,5.86,2.97,3.11,6.4,3.7,5.13,1.95,0.98,0.0,28.0,26.23,9.77,6.08,1.06,0.0,1.008,2024-10-17,BUF,4,CBJ,6,Won,1.0
"2024-10-19 - MIN 3, CBJ 1",CBJ,30.86,56.15,20.59,42.14,10.85,28.76,0.92,2.11,0.82,3.1,11.49,25.62,3.53,12.32,1.77,9.01,0.0,1.06,7.79,13.58,4.57,5.41,0.96,0.0,20.38,35.83,3.68,14.57,0.0,1.12,1.011,2024-10-19,MIN,3,CBJ,1,Lost,1.0
"2024-10-22 - TOR 2, CBJ 6",CBJ,62.75,40.36,47.47,26.64,29.87,17.6,5.91,2.01,2.95,1.9,26.05,24.9,9.06,10.76,5.02,8.7,2.9,1.02,17.36,13.91,11.45,4.85,2.92,1.0,47.3,23.72,13.52,4.24,0.0,0.0,1.084,2024-10-22,TOR,2,CBJ,6,Won,2.0
"2024-10-26 - CBJ 3, NSH 4",CBJ,47.02,52.3,33.29,37.54,22.88,22.62,3.19,1.85,1.52,2.07,21.14,22.36,6.5,10.01,6.44,4.61,1.08,0.0,14.57,12.3,4.11,7.68,1.05,0.96,26.02,32.77,11.33,10.22,1.05,0.89,1.058,2024-10-26,CBJ,3,NSH,4,Won,3.0
"2024-10-28 - EDM 1, CBJ 6",CBJ,44.25,37.78,34.73,28.54,21.74,18.5,4.96,0.0,2.2,1.49,22.12,13.4,7.16,4.87,4.16,2.89,2.95,0.0,15.35,8.36,9.48,5.85,1.0,0.0,23.49,23.87,8.08,8.53,1.07,0.0,1.228,2024-10-28,EDM,1,CBJ,6,Won,1.0
"2024-10-30 - NYI 0, CBJ 2",CBJ,49.19,63.89,37.32,43.71,24.61,21.27,0.94,0.0,2.03,2.31,21.15,25.89,5.61,10.47,5.68,5.08,0.0,0.0,15.68,15.34,6.88,4.06,0.0,0.0,24.85,35.31,11.03,11.15,0.95,0.0,1.038,2024-10-30,NYI,0,CBJ,2,Won,1.0
"2024-11-01 - WPG 6, CBJ 2",CBJ,34.95,74.22,25.02,59.29,16.26,43.74,0.92,5.35,0.91,4.41,16.81,38.65,4.52,18.95,1.83,15.66,0.92,2.17,11.96,20.03,4.59,7.52,0.0,2.09,22.79,36.15,9.77,18.64,0.0,1.05,0.935,2024-11-01,WPG,6,CBJ,2,Lost,1.0
"2024-11-02 - CBJ 2, WSH 7",CBJ,65.05,48.93,40.6,33.73,25.36,21.63,2.01,6.9,3.5,2.63,26.26,28.45,12.56,14.31,6.66,10.34,1.02,4.84,13.47,14.27,5.64,5.24,1.0,0.94,43.91,12.4,11.8,5.76,0.0,1.06,0.76,2024-11-02,CBJ,2,WSH,7,Won,0.0
"2024-11-05 - CBJ 1, SJ 2",CBJ,64.77,39.33,52.13,29.37,37.03,21.57,1.01,0.94,4.06,1.16,35.69,12.53,17.36,5.61,12.08,4.73,1.01,0.0,18.21,6.93,8.15,0.97,0.0,0.0,32.81,24.67,15.86,10.94,0.0,0.95,0.984,2024-11-05,CBJ,1,SJ,2,Won,2.0
"2024-11-09 - CBJ 2, LA 5",CBJ,45.04,33.39,28.95,26.41,19.99,14.51,1.06,2.86,2.03,1.21,19.25,13.42,8.31,5.53,7.17,2.78,1.06,0.99,10.84,7.98,4.08,2.97,0.0,0.95,26.27,18.88,6.91,8.77,0.0,0.89,0.856,2024-11-09,CBJ,2,LA,5,Won,3.0
"2024-11-10 - CBJ 2, ANA 4",CBJ,68.19,50.68,45.75,33.59,29.16,22.43,1.01,2.88,3.3,2.08,33.12,20.76,13.27,8.66,9.03,5.8,0.0,2.87,19.55,12.22,6.01,5.99,1.02,0.0,35.01,30.52,11.11,10.7,0.0,0.0,0.907,2024-11-10,CBJ,2,ANA,4,Won,0.0
"2024-11-12 - CBJ 2, SEA 5",CBJ,66.19,52.32,50.34,38.61,32.95,27.96,2.13,2.86,3.53,1.84,30.99,21.37,16.73,10.39,10.39,6.66,2.14,1.85,14.29,10.95,8.09,5.82,0.0,0.94,34.99,30.09,12.19,14.84,0.0,0.0,0.962,2024-11-12,CBJ,2,SEA,5,Won,1.0
"2024-11-15 - PIT 2, CBJ 6",CBJ,67.56,47.11,43.64,32.62,31.16,16.44,3.86,1.01,2.8,2.84,28.39,25.66,12.95,11.91,10.05,6.92,1.93,1.04,15.63,13.6,7.04,1.0,1.92,0.0,36.3,16.77,11.84,7.48,0.0,0.0,1.062,2024-11-15,PIT,2,CBJ,6,Won,2.0
"2024-11-16 - CBJ 1, MTL 5",CBJ,40.44,38.37,28.13,28.68,20.33,23.59,1.01,2.92,2.12,2.07,15.98,15.84,8.08,5.81,5.02,3.93,0.0,0.96,7.81,10.12,3.01,5.96,0.0,1.89,26.37,23.31,11.0,11.72,0.94,0.0,0.926,2024-11-16,CBJ,1,MTL,5,Won,0.0
"2024-11-18 - CBJ 5, BOS 1",CBJ,44.29,42.3,33.71,28.76,25.75,19.21,3.19,0.0,1.44,1.89,16.97,23.13,5.75,11.82,1.13,7.59,1.07,0.0,11.29,10.99,7.64,3.66,2.09,0.0,27.17,16.16,14.73,6.76,0.0,0.0,1.124,2024-11-18,CBJ,5,BOS,1,Lost,1.0
"2024-11-21 - TB 6, CBJ 7",CBJ,79.34,55.84,48.65,35.2,36.9,25.49,3.74,4.19,3.54,1.99,41.43,17.39,17.39,10.0,10.33,7.79,0.0,4.22,23.71,7.44,11.27,2.1,3.9,0.0,37.48,39.15,12.46,13.45,0.0,0.0,0.937,2024-11-21,TB,6,CBJ,7,Won,2.0
"2024-11-23 - CAR 4, CBJ 5",CBJ,33.66,57.51,27.93,38.62,21.05,26.3,1.89,3.08,1.81,2.21,17.22,25.8,7.45,11.62,6.51,7.31,0.0,1.06,9.78,14.13,3.87,5.13,1.9,1.06,15.13,38.13,7.63,12.72,0.0,0.94,0.973,2024-11-23,CAR,4,CBJ,5,Won,1.0
"2024-11-27 - MTL 4, CBJ 3",CBJ,40.15,51.46,29.61,32.82,21.19,17.29,2.81,2.07,1.58,1.79,15.0,26.12,6.54,6.33,6.62,3.16,1.88,0.0,8.35,19.67,3.8,6.12,0.0,2.11,28.05,30.7,9.77,7.01,0.89,0.0,1.013,2024-11-27,MTL,4,CBJ,3,Lost,3.0
"2024-11-29 - CGY 2, CBJ 5",CBJ,50.08,49.3,37.82,30.26,28.48,21.93,2.96,1.0,2.25,2.37,22.33,23.46,7.78,13.17,5.91,7.01,0.96,1.02,14.85,10.19,7.19,3.85,1.92,0.0,29.21,29.99,11.3,9.94,0.0,0.0,1.058,2024-11-29,CGY,2,CBJ,5,Won,1.0
"2024-12-01 - CBJ 6, CHI 3",CBJ,51.0,32.07,41.96,21.82,32.1,16.55,4.2,0.0,2.29,1.26,21.51,9.21,7.5,2.69,4.21,2.7,0.0,0.0,14.18,6.48,8.44,4.73,2.09,0.0,31.84,24.46,16.18,9.06,1.99,0.0,1.131,2024-12-01,CBJ,6,CHI,3,Lost,1.0
