Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2024-10-09 - WPG 6, EDM 0",EDM,58.65,41.65,36.54,31.07,23.86,19.96,0.0,4.26,2.17,2.24,27.97,19.88,7.89,4.36,5.39,3.22,0.0,0.0,19.75,15.68,6.27,5.44,0.0,3.06,35.72,18.84,11.28,6.63,0.0,1.12,0.786,2024-10-09,WPG,6,EDM,0,Lost,
"2024-10-12 - CHI 5, EDM 2",EDM,72.6,33.6,43.41,22.61,29.27,18.12,0.92,2.13,2.59,0.93,33.08,16.32,11.43,1.07,6.29,1.05,0.92,1.06,21.35,15.36,6.42,9.62,0.0,1.04,47.69,22.56,13.8,7.27,0.0,0.0,0.914,2024-10-12,CHI,5,EDM,2,Lost,2.0
"2024-10-13 - CGY 4, EDM 1",EDM,50.53,54.45,34.77,36.76,22.28,24.68,0.94,3.14,1.9,2.73,21.83,30.58,7.48,14.41,5.59,7.33,0.94,2.14,14.36,16.09,3.94,8.24,0.0,1.06,28.29,25.42,10.66,8.33,0.0,0.0,0.915,2024-10-13,CGY,4,EDM,1,Lost,0.0
"2024-10-15 - PHI 3, EDM 4",EDM,45.7,35.88,30.76,30.21,22.76,21.43,2.8,1.06,1.86,1.78,21.6,20.62,6.13,6.55,4.38,4.33,0.93,0.0,15.31,14.24,9.32,4.29,1.92,0.0,34.82,20.84,9.1,11.69,0.0,1.05,1.074,2024-10-15,PHI,3,EDM,4,Won,1.0
"2024-10-17 - EDM 4, NSH 2",EDM,57.19,37.06,43.82,27.06,31.11,17.82,3.12,0.94,3.16,1.25,27.72,12.87,14.05,5.4,12.88,1.83,2.12,0.94,13.81,7.39,5.23,4.77,0.0,0.0,35.98,27.95,12.07,10.33,0.94,0.0,1.047,2024-10-17,EDM,4,NSH,2,Lost,1.0
"2024-10-19 - EDM 1, DAL 4",EDM,59.76,49.72,42.05,35.29,24.98,22.33,0.0,1.97,2.56,2.13,28.59,21.53,9.4,8.78,5.14,5.04,0.0,1.95,18.93,12.84,6.06,4.91,0.0,0.0,38.89,30.02,10.71,10.54,0.0,0.0,0.912,2024-10-19,EDM,1,DAL,4,Won,1.0
"2024-10-22 - CAR 3, EDM 2",EDM,42.97,49.37,31.0,36.72,25.9,24.07,0.94,1.01,2.32,3.11,21.15,25.64,13.88,10.03,11.08,6.93,0.0,1.01,7.31,15.32,4.05,6.93,0.95,0.0,21.44,31.21,7.56,10.32,0.0,0.0,0.994,2024-10-22,CAR,3,EDM,2,Lost,2.0
"2024-10-25 - PIT 0, EDM 4",EDM,83.8,46.93,65.0,31.71,47.07,21.69,2.92,0.0,4.92,2.35,48.32,21.19,23.27,7.3,14.74,3.06,0.96,0.0,25.09,13.67,13.83,5.0,0.94,0.0,45.41,23.08,17.29,12.4,0.95,0.0,1.062,2024-10-25,PIT,0,EDM,4,Won,2.0
"2024-10-27 - EDM 3, DET 2",EDM,60.66,50.59,42.1,35.89,31.32,24.52,2.02,1.89,2.28,3.05,30.18,30.82,7.14,11.72,5.08,8.83,0.0,0.94,22.69,19.33,10.08,10.94,0.0,0.95,29.34,17.93,14.12,4.31,1.88,0.0,0.988,2024-10-27,EDM,3,DET,2,Lost,1.0
"2024-10-28 - EDM 1, CBJ 6",EDM,37.78,44.25,28.54,34.73,18.5,21.74,0.0,4.96,1.49,2.2,13.4,22.12,4.87,7.16,2.89,4.16,0.0,2.95,8.36,15.35,5.85,9.48,0.0,1.0,23.87,23.49,8.53,8.08,0.0,1.07,0.772,2024-10-28,EDM,1,CBJ,6,Won,0.0
