Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2024-10-10 - UHC 5, NYI 4",NYI,41.6,54.63,26.9,34.06,15.42,21.53,1.87,2.07,1.06,1.87,14.27,27.16,3.69,13.78,3.72,9.42,0.92,2.07,10.68,13.42,2.91,4.09,0.95,0.0,34.26,33.02,8.79,5.16,0.0,0.0,1.025,2024-10-10,UHC,5,NYI,4,Lost,
"2024-10-12 - NYI 0, DAL 3",NYI,57.72,41.23,45.57,28.2,28.49,23.95,0.0,1.93,3.51,1.28,24.48,14.17,11.06,6.01,6.93,4.05,0.0,0.99,13.16,8.29,7.85,6.01,0.0,0.95,34.91,28.94,12.63,10.99,0.0,0.0,0.919,2024-10-12,NYI,0,DAL,3,Won,1.0
"2024-10-14 - NYI 6, COL 2",NYI,55.52,52.07,40.73,37.07,34.11,26.3,4.19,1.86,2.9,2.5,26.07,26.26,13.05,12.69,11.93,8.16,4.22,0.94,13.18,13.33,5.37,6.48,0.0,0.0,33.74,31.03,15.7,9.72,0.0,0.88,1.052,2024-10-14,NYI,6,COL,2,Lost,1.0
"2024-10-17 - NYI 0, STL 1",NYI,49.46,47.51,35.09,29.04,27.76,25.27,0.0,0.0,2.44,1.67,25.16,21.89,10.65,5.61,5.27,4.73,0.0,0.0,14.48,16.42,7.2,8.74,0.0,0.0,25.6,26.35,11.15,11.83,0.0,0.0,1.0,2024-10-17,NYI,0,STL,1,Won,2.0
"2024-10-19 - MTL 3, NYI 4",NYI,51.02,38.94,34.29,30.18,24.59,18.0,1.93,2.02,1.85,2.17,21.21,25.8,8.55,8.38,6.76,6.18,0.94,0.0,12.72,17.25,6.83,8.12,0.94,1.06,28.43,13.63,9.86,2.86,0.0,0.94,0.966,2024-10-19,MTL,3,NYI,4,Won,1.0
"2024-10-22 - DET 1, NYI 0",NYI,45.54,28.59,33.24,18.62,19.38,10.86,0.0,1.06,1.29,0.92,19.08,8.78,1.77,2.23,0.0,1.11,0.0,0.0,17.17,6.63,8.48,3.17,0.0,1.05,31.25,19.78,9.16,4.41,0.0,0.0,0.903,2024-10-22,DET,1,NYI,0,Lost,2.0
"2024-10-25 - NYI 4, NJ 3",NYI,44.7,47.63,31.27,34.43,20.44,22.81,2.11,1.85,2.21,2.27,19.61,21.7,8.89,12.46,7.73,7.09,1.06,0.92,10.85,8.99,4.16,4.68,1.05,0.96,27.11,23.44,8.72,10.87,0.0,0.0,1.022,2024-10-25,NYI,4,NJ,3,Lost,2.0
"2024-10-26 - FLA 6, NYI 3",NYI,52.41,48.73,40.2,40.49,23.69,23.91,2.92,4.09,2.31,2.66,22.23,19.32,9.64,9.38,5.9,7.33,1.95,3.1,12.62,9.87,5.84,3.04,0.0,1.0,30.82,29.6,8.62,9.6,0.95,0.0,0.952,2024-10-26,FLA,6,NYI,3,Lost,0.0
"2024-10-29 - ANA 3, NYI 1",NYI,61.41,44.11,44.71,29.41,27.49,18.35,0.0,0.0,2.54,1.3,28.02,19.85,11.72,4.48,5.42,2.23,0.0,0.0,15.9,15.56,7.49,6.34,0.0,0.0,42.59,20.89,12.66,7.67,0.0,0.0,1.0,2024-10-29,ANA,3,NYI,1,Lost,2.0
"2024-10-30 - NYI 0, CBJ 2",NYI,63.89,49.19,43.71,37.32,21.27,24.61,0.0,0.94,2.31,2.03,25.89,21.15,10.47,5.61,5.08,5.68,0.0,0.0,15.34,15.68,4.06,6.88,0.0,0.0,35.31,24.85,11.15,11.03,0.0,0.95,0.962,2024-10-30,NYI,0,CBJ,2,Won,0.0
