Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2024-10-08 - STL 3, SEA 2",STL,51.08,63.78,37.66,45.38,23.29,29.57,2.07,1.93,1.68,3.29,17.83,36.64,6.42,20.02,4.2,11.52,1.06,1.93,11.41,16.47,7.2,3.94,0.0,0.0,44.43,32.41,10.74,12.05,0.94,0.0,1.023,2024-10-08,STL,3,SEA,2,Lost,
"2024-10-10 - STL 5, SJ 4",STL,63.49,42.55,44.43,26.58,33.72,21.43,3.03,1.89,3.75,1.72,35.47,19.84,17.67,7.82,14.39,4.87,1.02,0.94,17.69,12.15,4.03,7.95,2.08,0.0,29.92,25.18,14.39,8.54,0.0,0.95,1.002,2024-10-10,STL,5,SJ,4,Lost,1.0
"2024-10-11 - STL 3, VGK 4",STL,42.09,43.05,28.65,32.35,20.67,25.34,2.07,3.84,1.54,2.25,14.14,21.76,6.08,12.68,6.01,9.86,1.06,3.84,7.94,9.1,5.03,1.99,1.02,0.0,33.97,21.83,8.61,11.48,0.0,0.0,0.948,2024-10-11,STL,3,VGK,4,Won,0.0
"2024-10-15 - MIN 4, STL 1",STL,51.42,55.25,33.76,39.75,17.01,23.75,0.92,1.05,1.94,1.87,26.5,23.74,8.79,8.04,3.53,4.61,0.0,1.07,17.3,15.98,9.1,6.61,0.96,0.0,27.22,32.23,4.53,10.35,0.0,0.0,1.01,2024-10-15,MIN,4,STL,1,Lost,3.0
"2024-10-17 - NYI 0, STL 1",STL,47.51,49.46,29.04,35.09,25.27,27.76,0.0,0.0,1.67,2.44,21.89,25.16,5.61,10.65,4.73,5.27,0.0,0.0,16.42,14.48,8.74,7.2,0.0,0.0,26.35,25.6,11.83,11.15,0.0,0.0,1.0,2024-10-17,NYI,0,STL,1,Won,1.0
"2024-10-19 - CAR 3, STL 4",STL,26.69,53.69,22.0,42.39,16.29,29.47,3.8,2.07,1.35,2.2,15.1,22.29,6.77,9.89,4.81,7.73,1.93,1.06,8.16,12.41,3.78,4.05,0.96,0.0,11.43,36.45,6.56,16.73,0.95,0.94,1.163,2024-10-19,CAR,3,STL,4,Won,1.0
"2024-10-22 - WPG 3, STL 2",STL,50.3,54.55,33.47,33.77,23.22,19.92,1.89,2.13,2.37,2.03,26.13,25.59,13.88,8.81,8.45,3.3,1.87,0.0,12.12,16.81,3.8,5.16,0.0,0.0,26.23,36.21,10.14,11.51,0.0,2.16,0.975,2024-10-22,WPG,3,STL,2,Lost,2.0
"2024-10-24 - STL 5, TOR 1",STL,40.16,52.32,32.72,35.76,26.89,24.37,3.18,0.95,1.41,1.53,14.68,16.49,5.65,4.31,4.53,1.68,0.0,0.0,9.21,11.87,5.46,9.03,2.01,0.0,29.65,43.82,14.77,12.66,1.05,0.88,1.079,2024-10-24,STL,5,TOR,1,Lost,1.0
"2024-10-26 - STL 2, MTL 5",STL,48.29,53.59,32.79,35.59,22.33,24.57,2.03,2.92,2.28,2.3,24.7,29.68,9.94,6.67,5.88,2.9,2.05,0.0,14.56,23.4,7.07,10.95,0.0,2.83,21.8,22.66,9.39,7.41,0.0,0.0,0.972,2024-10-26,STL,2,MTL,5,Won,1.0
"2024-10-29 - STL 1, OTT 8",STL,37.29,61.88,26.44,45.44,18.22,33.35,0.0,5.91,1.06,2.64,15.93,30.4,3.87,10.2,3.8,6.15,0.0,1.92,11.65,20.65,4.7,9.38,0.0,3.92,20.23,27.99,7.71,13.68,0.0,0.0,0.823,2024-10-29,STL,1,OTT,8,Won,2.0
"2024-10-31 - STL 1, PHI 2",STL,55.97,40.02,31.75,25.27,15.88,16.18,1.01,1.89,1.75,1.18,26.41,16.81,9.27,3.86,5.08,2.96,0.0,0.94,16.95,13.13,3.03,3.96,1.06,0.95,35.08,25.03,7.75,9.33,0.0,0.0,0.947,2024-10-31,STL,1,PHI,2,Won,1.0
"2024-11-02 - TOR 2, STL 4",STL,32.76,55.91,22.01,40.93,18.04,30.33,2.86,2.07,1.07,2.77,12.69,27.24,4.76,9.32,3.79,8.23,0.0,2.09,8.05,18.04,4.05,6.18,0.0,0.0,20.82,34.27,9.12,15.83,2.9,0.0,1.09,2024-11-02,TOR,2,STL,4,Won,1.0
"2024-11-05 - TB 2, STL 3",STL,41.07,49.23,31.35,33.25,22.7,17.97,2.86,2.07,1.67,1.78,16.34,19.71,5.7,11.64,3.87,5.21,1.91,1.06,10.71,8.1,6.84,1.0,0.95,0.0,23.55,22.49,8.88,9.63,0.0,0.93,1.011,2024-11-05,TB,2,STL,3,Won,2.0
"2024-11-07 - UHC 4, STL 2",STL,27.29,56.65,12.81,41.32,10.11,28.34,1.85,3.17,0.9,2.3,12.81,25.73,4.57,8.68,2.72,6.38,0.0,1.06,8.1,17.14,5.61,9.43,1.92,1.05,14.44,39.32,1.8,10.49,0.0,1.05,1.071,2024-11-07,UHC,4,STL,2,Lost,1.0
"2024-11-09 - WSH 8, STL 1",STL,36.24,43.37,22.32,36.37,15.2,20.64,0.92,6.44,1.37,2.12,16.19,24.14,6.05,10.32,3.53,6.93,0.92,3.28,10.03,13.87,3.8,7.29,0.0,2.09,22.04,26.0,7.6,6.53,0.0,1.05,0.749,2024-11-09,WSH,8,STL,1,Lost,1.0
"2024-11-12 - BOS 3, STL 2",STL,30.34,45.78,22.11,36.1,15.87,22.07,0.0,3.08,1.08,2.89,14.04,26.76,6.97,12.58,1.03,8.35,0.0,2.09,7.09,14.09,2.99,4.01,0.0,0.0,14.95,24.26,9.95,8.74,0.0,0.94,0.86,2024-11-12,BOS,3,STL,2,Lost,2.0
"2024-11-14 - STL 3, BUF 4",STL,50.06,53.21,37.49,37.28,25.97,29.8,3.12,2.79,2.1,1.94,22.2,22.37,6.37,6.45,4.27,3.72,1.06,0.0,15.82,15.83,8.26,6.7,2.11,0.96,38.45,33.8,10.4,17.41,0.0,1.84,1.027,2024-11-14,STL,3,BUF,4,Won,1.0
"2024-11-16 - STL 3, BOS 2",STL,55.91,35.76,45.8,26.67,28.23,15.8,2.07,1.87,2.36,1.89,27.31,18.27,12.38,7.51,5.32,4.74,0.0,1.86,14.76,10.8,9.08,4.89,2.11,0.0,31.33,23.08,11.06,6.1,0.0,0.0,0.955,2024-11-16,STL,3,BOS,2,Lost,1.0
"2024-11-17 - STL 1, CAR 4",STL,42.43,63.39,36.32,45.84,29.53,19.21,1.06,2.92,2.62,2.47,25.36,31.57,13.48,10.94,11.25,5.05,1.06,0.94,11.81,20.72,6.14,6.83,0.0,1.92,23.45,37.71,11.92,6.36,0.0,0.0,0.884,2024-11-17,STL,1,CAR,4,Won,0.0
