Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2024-10-09 - NYR 6, PIT 0",NYR,66.03,54.25,56.09,39.08,38.63,24.32,5.35,0.0,4.91,2.49,37.79,24.3,23.18,10.29,18.65,4.29,3.22,0.0,14.98,13.7,6.62,7.28,2.08,0.0,29.97,35.07,13.7,12.54,0.0,0.0,1.138,2024-10-09,NYR,6,PIT,0,Lost,
"2024-10-12 - UHC 6, NYR 5",NYR,50.87,51.24,40.48,35.7,25.83,18.22,3.75,3.19,2.71,2.06,26.36,20.68,10.75,7.61,6.27,4.33,0.92,2.12,15.34,13.29,6.56,4.24,1.99,0.0,29.34,29.29,11.08,9.7,0.0,1.11,0.97,2024-10-12,UHC,6,NYR,5,Lost,2.0
"2024-10-14 - DET 1, NYR 4",NYR,35.61,39.69,27.08,31.56,19.01,20.59,1.93,1.01,1.64,2.22,15.44,16.2,7.54,9.32,5.68,6.06,0.0,1.01,7.9,6.8,4.91,2.98,1.89,0.0,28.44,23.87,8.51,10.39,0.0,0.0,1.053,2024-10-14,DET,1,NYR,4,Won,1.0
"2024-10-17 - NYR 5, DET 2",NYR,57.55,36.13,39.64,27.19,29.37,21.12,2.14,0.95,3.21,1.88,28.29,21.74,11.36,9.43,5.71,8.55,0.0,0.0,17.25,11.98,8.84,5.35,0.0,1.03,27.81,16.27,10.25,5.38,2.17,0.0,1.028,2024-10-17,NYR,5,DET,2,Lost,2.0
"2024-10-19 - NYR 4, TOR 1",NYR,47.44,56.64,36.01,36.37,24.9,24.73,1.06,0.95,2.62,2.63,24.12,34.21,11.04,16.03,7.63,9.82,0.0,0.93,13.32,17.77,4.27,5.54,1.05,0.0,25.4,21.7,12.09,8.3,0.0,0.0,1.004,2024-10-19,NYR,4,TOR,1,Lost,1.0
"2024-10-22 - NYR 7, MTL 2",NYR,76.62,35.98,58.99,25.49,39.1,17.98,6.4,0.92,5.15,1.58,42.88,16.38,19.87,6.67,12.86,4.13,3.25,0.91,23.44,9.52,12.32,4.47,0.0,0.0,27.2,19.76,11.59,8.32,3.29,0.0,1.113,2024-10-22,NYR,7,MTL,2,Lost,2.0
"2024-10-24 - FLA 3, NYR 1",NYR,32.9,57.75,24.65,42.35,15.99,26.56,0.95,3.21,1.64,2.89,15.94,27.85,7.88,13.44,6.15,11.17,0.93,2.14,7.87,14.74,1.86,5.44,0.0,0.0,20.69,29.53,7.69,9.01,0.0,1.11,0.939,2024-10-24,FLA,3,NYR,1,Lost,1.0
"2024-10-26 - ANA 1, NYR 2",NYR,59.93,48.75,42.03,36.75,26.43,25.39,1.93,0.0,2.52,1.42,34.63,14.63,11.28,5.26,8.58,4.15,0.99,0.0,23.52,9.31,7.8,5.14,0.95,0.0,28.66,38.29,9.95,15.86,0.0,0.0,1.073,2024-10-26,ANA,1,NYR,2,Won,1.0
"2024-10-29 - NYR 3, WSH 5",NYR,37.66,64.42,29.67,53.23,14.37,36.96,1.01,2.88,1.73,3.95,13.78,33.86,7.98,14.78,4.94,11.93,1.01,1.93,5.76,19.31,2.01,9.95,0.0,0.95,23.22,35.82,6.35,15.06,0.0,0.0,0.993,2024-10-29,NYR,3,WSH,5,Won,2.0
"2024-11-01 - OTT 1, NYR 2",NYR,26.05,58.75,18.49,44.21,13.39,29.74,0.94,1.01,0.78,1.65,11.0,23.73,1.99,6.05,2.02,3.93,0.0,1.04,9.15,17.32,5.98,10.95,0.0,0.0,19.08,34.57,5.29,11.98,0.95,0.0,1.036,2024-11-01,OTT,1,NYR,2,Won,2.0
