Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2024-10-11 - PHI 3, VAN 2",PHI,34.09,47.56,25.4,29.51,19.22,14.64,1.01,1.89,1.01,1.56,11.37,22.26,2.13,6.67,2.11,4.79,0.0,0.94,9.14,15.74,4.09,3.89,1.06,0.95,23.68,21.92,10.79,3.94,0.0,0.0,0.924,2024-10-11,PHI,3,VAN,2,Lost,
"2024-10-12 - PHI 3, CGY 6",PHI,49.77,43.46,40.14,32.41,27.01,26.15,1.01,2.92,2.06,2.38,20.78,24.26,10.17,15.0,7.09,11.12,1.04,1.91,10.43,9.25,5.9,3.99,0.0,0.94,35.05,21.52,11.13,7.76,0.0,0.0,0.926,2024-10-12,PHI,3,CGY,6,Won,0.0
"2024-10-15 - PHI 3, EDM 4",PHI,35.88,45.7,30.21,30.76,21.43,22.76,1.06,2.8,1.78,1.86,20.62,21.6,6.55,6.13,4.33,4.38,0.0,0.93,14.24,15.31,4.29,9.32,0.0,1.92,20.84,34.82,11.69,9.1,1.05,0.0,0.926,2024-10-15,PHI,3,EDM,4,Won,2.0
"2024-10-17 - PHI 4, SEA 6",PHI,40.96,48.59,26.47,33.14,16.46,20.51,3.12,4.83,1.63,1.77,15.32,18.18,5.1,8.43,2.05,3.91,1.06,2.92,10.18,9.76,3.08,2.97,1.0,0.98,27.42,24.32,10.13,9.75,1.05,0.89,0.954,2024-10-17,PHI,4,SEA,6,Won,1.0
"2024-10-19 - VAN 3, PHI 0",PHI,39.47,57.69,32.54,45.13,18.38,33.62,0.0,3.18,1.67,1.57,21.55,19.89,5.99,6.6,1.7,6.56,0.0,2.14,15.3,13.48,9.87,5.43,0.0,0.97,23.15,39.95,6.09,17.66,0.0,0.0,0.905,2024-10-19,VAN,3,PHI,0,Lost,1.0
"2024-10-22 - WSH 4, PHI 1",PHI,30.18,45.55,17.61,33.82,11.56,21.2,0.0,1.05,0.77,1.46,10.52,22.48,2.62,6.82,1.75,2.26,0.0,0.0,7.71,15.92,3.64,5.44,0.0,0.97,14.68,19.22,5.14,9.06,0.0,0.0,0.951,2024-10-22,WSH,4,PHI,1,Lost,2.0
"2024-10-23 - PHI 3, WSH 6",PHI,39.99,43.12,25.13,34.25,20.54,18.7,1.0,3.91,1.85,2.29,23.23,21.18,9.88,7.93,7.81,4.95,0.0,1.91,13.11,13.4,6.77,5.11,0.0,1.94,20.72,21.39,5.24,5.35,0.94,0.0,0.84,2024-10-23,PHI,3,WSH,6,Won,0.0
"2024-10-26 - MIN 5, PHI 7",PHI,41.41,42.39,30.79,24.79,19.66,14.55,3.82,4.09,2.41,1.33,19.55,16.62,10.37,5.96,9.46,2.94,2.82,1.01,9.25,10.39,2.97,4.98,0.94,2.08,17.21,23.1,4.04,6.62,0.0,0.94,0.913,2024-10-26,MIN,5,PHI,7,Won,2.0
"2024-10-27 - MTL 4, PHI 3",PHI,45.03,44.86,31.7,31.6,16.86,20.63,1.84,3.16,1.73,2.56,21.85,20.56,7.84,6.44,3.44,4.28,0.0,2.12,13.78,14.28,7.34,7.45,0.96,0.97,27.62,23.39,5.21,7.81,0.89,0.0,0.956,2024-10-27,MTL,4,PHI,3,Lost,0.0
"2024-10-29 - PHI 2, BOS 0",PHI,39.35,49.67,28.6,26.5,16.9,18.08,1.06,0.0,1.85,2.29,16.01,26.02,8.68,9.09,7.56,6.38,0.0,0.0,7.41,16.88,4.16,3.84,1.05,0.0,24.39,22.67,3.13,7.8,0.0,0.0,1.063,2024-10-29,PHI,2,BOS,0,Lost,1.0
"2024-10-31 - STL 1, PHI 2",PHI,40.02,55.97,25.27,31.75,16.18,15.88,1.89,1.01,1.18,1.75,16.81,26.41,3.86,9.27,2.96,5.08,0.94,0.0,13.13,16.95,3.96,3.03,0.95,1.06,25.03,35.08,9.33,7.75,0.0,0.0,1.053,2024-10-31,STL,1,PHI,2,Won,1.0
"2024-11-02 - BOS 3, PHI 0",PHI,34.93,58.41,21.35,37.14,16.11,25.12,0.0,2.13,1.09,2.66,14.21,33.02,4.33,12.13,3.44,6.57,0.0,1.06,9.69,21.24,3.71,7.54,0.0,1.04,18.6,20.64,8.82,7.68,0.0,0.0,0.915,2024-11-02,BOS,3,PHI,0,Lost,1.0
"2024-11-05 - PHI 4, CAR 6",PHI,32.46,70.62,24.43,52.74,14.24,27.4,3.04,4.74,1.79,3.91,19.68,31.6,9.55,14.1,5.21,9.46,1.01,3.79,10.12,17.48,4.06,5.85,1.06,0.95,12.96,41.59,4.0,10.94,0.93,0.0,1.04,2024-11-05,PHI,4,CAR,6,Won,2.0
"2024-11-07 - PHI 2, TB 1",PHI,40.99,51.97,30.59,34.58,22.64,20.38,1.01,0.94,1.96,1.76,18.24,28.55,5.14,8.66,3.04,4.86,0.0,0.94,12.93,20.12,7.07,5.98,0.0,0.0,25.87,25.83,10.34,8.43,0.94,0.0,0.998,2024-11-07,PHI,2,TB,1,Lost,1.0
"2024-11-09 - PHI 3, FLA 4",PHI,40.77,56.03,32.76,41.78,26.42,24.94,2.07,2.81,1.85,2.22,22.98,24.67,8.44,10.07,6.2,4.67,1.06,0.94,14.5,14.61,8.26,7.74,1.06,0.95,20.94,33.18,8.76,9.61,0.0,0.89,0.966,2024-11-09,PHI,3,FLA,4,Won,1.0
"2024-11-11 - SJ 3, PHI 4",PHI,73.58,32.62,55.75,27.62,39.71,21.01,1.93,3.03,3.33,1.92,29.54,15.71,13.15,7.93,7.15,5.86,0.0,1.02,16.55,7.76,7.95,5.01,1.92,1.06,47.43,20.25,20.71,9.05,0.0,0.93,0.904,2024-11-11,SJ,3,PHI,4,Won,1.0
"2024-11-14 - PHI 5, OTT 4",PHI,28.93,60.3,16.87,34.91,13.92,23.32,4.09,1.87,1.02,1.93,15.41,20.98,2.07,6.49,2.05,4.73,1.01,0.0,13.18,14.57,5.07,7.73,2.11,1.91,11.76,34.3,6.77,8.88,0.93,0.0,1.214,2024-11-14,PHI,5,OTT,4,Lost,2.0
"2024-11-16 - BUF 2, PHI 5",PHI,40.7,43.1,29.74,28.96,22.39,18.02,1.97,0.0,1.93,1.46,21.48,19.46,9.97,2.9,3.04,0.95,0.0,0.0,11.65,16.12,7.27,5.94,0.0,0.0,22.83,26.06,11.19,8.79,2.13,0.0,1.088,2024-11-16,BUF,2,PHI,5,Won,1.0
"2024-11-18 - COL 3, PHI 2",PHI,35.09,58.77,24.55,30.5,18.34,22.14,1.87,1.06,1.39,1.82,19.03,28.81,7.22,6.51,4.5,5.41,0.93,0.0,11.63,22.23,3.71,9.44,0.0,1.05,18.71,38.7,9.19,7.27,0.88,0.0,1.054,2024-11-18,COL,3,PHI,2,Lost,1.0
"2024-11-20 - CAR 4, PHI 1",PHI,24.46,88.81,19.02,64.27,10.87,39.03,0.92,4.24,1.13,4.49,10.96,47.33,4.57,20.16,2.72,8.95,0.0,2.15,6.31,27.48,1.81,11.76,0.0,1.05,17.23,40.27,6.28,16.09,0.89,1.05,0.976,2024-11-20,CAR,4,PHI,1,Lost,1.0
"2024-11-23 - CHI 2, PHI 3",PHI,58.15,50.86,40.3,30.65,31.15,19.59,1.87,2.13,2.46,1.95,26.38,20.99,13.41,6.66,11.65,5.53,0.93,0.0,12.74,14.58,4.66,5.37,0.0,1.05,40.13,29.58,13.67,6.62,0.89,1.11,0.951,2024-11-23,CHI,2,PHI,3,Won,2.0
"2024-11-25 - VGK 5, PHI 4",PHI,59.07,46.82,43.91,33.15,28.52,26.49,3.91,3.03,2.71,2.4,29.16,23.51,13.74,8.01,10.03,6.93,2.9,1.04,15.58,15.18,5.93,8.81,0.94,2.06,38.38,26.63,11.45,10.75,0.0,0.0,1.023,2024-11-25,VGK,5,PHI,4,Lost,1.0
"2024-11-27 - PHI 3, NSH 2",PHI,38.69,69.22,28.26,39.83,19.49,20.38,1.01,0.94,2.47,1.71,20.23,21.89,8.02,5.86,4.96,1.95,0.0,0.0,12.07,16.26,6.07,4.96,0.0,0.0,21.77,45.09,7.48,13.73,0.94,0.95,1.006,2024-11-27,PHI,3,NSH,2,Lost,1.0
"2024-11-29 - NYR 1, PHI 3",PHI,59.42,45.04,45.81,27.59,34.48,21.85,1.93,1.01,3.18,1.56,30.41,14.71,15.94,5.97,13.11,5.9,1.93,0.0,14.58,8.58,11.11,5.93,0.0,1.02,31.16,25.1,9.82,8.09,0.0,0.0,1.01,2024-11-29,NYR,1,PHI,3,Won,1.0
"2024-11-30 - PHI 3, STL 2",PHI,55.65,43.59,44.53,30.63,30.27,19.06,2.11,0.92,2.85,1.83,31.65,22.37,14.26,8.83,8.73,5.32,2.12,0.0,17.72,13.23,9.6,3.71,0.0,0.96,33.85,22.38,12.03,9.89,0.0,0.0,1.021,2024-11-30,PHI,3,STL,2,Lost,0.0
"2024-12-05 - FLA 7, PHI 5",PHI,46.7,53.35,37.33,28.94,27.69,18.38,3.77,2.13,2.14,1.43,18.1,21.78,7.07,7.51,6.22,4.43,1.86,1.06,10.89,14.5,7.55,3.2,1.03,0.0,30.15,30.63,11.02,10.81,0.88,1.11,1.02,2024-12-05,FLA,7,PHI,5,Lost,4.0
"2024-12-07 - PHI 3, BOS 4",PHI,46.66,25.15,37.51,17.28,24.16,12.8,2.15,1.87,2.09,1.01,18.79,7.11,7.81,4.39,6.74,3.53,1.08,1.85,11.17,2.65,5.37,1.86,1.04,0.0,35.46,20.98,11.03,7.36,0.0,0.0,0.943,2024-12-07,PHI,3,BOS,4,Won,1.0
"2024-12-08 - UHC 4, PHI 2",PHI,39.33,47.55,26.93,35.79,16.79,21.94,1.85,2.11,1.66,1.52,13.82,24.59,7.22,4.26,3.67,3.16,0.92,1.06,6.51,20.36,0.97,6.33,0.0,0.0,27.34,24.06,12.03,11.33,0.89,1.05,1.014,2024-12-08,UHC,4,PHI,2,Lost,0.0
"2024-12-10 - PHI 5, CBJ 3",PHI,59.63,29.15,40.87,17.92,26.1,11.16,4.26,1.83,2.98,0.96,25.04,14.42,12.7,6.73,6.98,3.31,1.06,1.82,12.57,7.48,6.61,2.66,2.01,0.0,33.34,15.15,11.59,2.6,1.11,0.0,0.999,2024-12-10,PHI,5,CBJ,3,Lost,1.0
"2024-12-12 - DET 1, PHI 4",PHI,52.72,50.46,40.47,33.33,31.74,25.48,0.94,1.01,1.94,1.97,19.36,29.42,6.61,8.18,5.74,6.04,0.0,0.0,12.89,20.94,5.85,10.1,0.95,0.0,40.21,19.06,19.36,6.51,0.0,0.93,0.99,2024-12-12,DET,1,PHI,4,Won,1.0
"2024-12-14 - PHI 1, MIN 4",PHI,33.98,35.3,24.97,25.57,16.29,18.47,1.0,1.93,0.98,1.09,13.05,12.83,3.95,4.94,1.95,2.98,0.0,0.0,9.0,8.0,5.12,3.94,0.0,0.98,25.95,26.54,7.98,11.87,0.94,0.95,0.957,2024-12-14,PHI,1,MIN,4,Won,1.0
"2024-12-18 - PHI 4, DET 6",PHI,38.09,37.15,27.57,23.1,16.78,14.64,4.09,3.82,2.14,1.18,21.45,18.02,10.25,6.61,7.11,1.95,4.11,0.99,11.13,11.39,5.11,7.71,0.0,2.84,17.93,19.11,4.6,3.05,0.0,0.0,0.983,2024-12-18,PHI,4,DET,6,Won,3.0
"2024-12-19 - LA 7, PHI 3",PHI,43.88,57.1,29.8,34.66,22.46,23.02,2.79,6.34,1.95,2.97,18.36,35.06,9.95,18.15,8.14,9.55,2.78,6.36,8.3,17.06,2.87,6.21,0.0,0.0,29.5,24.31,11.31,7.45,0.0,0.0,0.849,2024-12-19,LA,7,PHI,3,Lost,0.0
"2024-12-21 - CBJ 4, PHI 5",PHI,51.65,41.15,35.07,28.04,23.37,20.17,2.8,4.25,1.92,1.56,19.89,17.24,5.37,7.57,4.53,6.46,0.92,2.14,14.31,9.8,6.52,2.06,1.99,1.05,29.94,26.05,11.42,10.81,0.0,1.05,0.909,2024-12-21,CBJ,4,PHI,5,Won,1.0
"2024-12-23 - PHI 3, PIT 7",PHI,41.2,34.91,30.96,26.19,23.61,14.58,3.03,2.88,1.76,0.88,22.36,9.03,5.95,3.86,5.86,1.95,0.0,0.94,15.93,5.27,7.9,3.05,2.06,0.94,18.95,30.1,8.91,7.63,0.93,0.95,0.931,2024-12-23,PHI,3,PIT,7,Won,1.0
"2024-12-28 - PHI 3, ANA 1",PHI,50.23,40.78,31.97,30.94,20.18,19.05,2.11,0.92,2.29,1.73,24.74,15.78,7.56,8.26,4.33,6.56,1.06,0.0,17.31,7.39,5.32,3.84,0.0,0.96,30.1,26.87,10.49,6.64,1.05,0.0,1.056,2024-12-28,PHI,3,ANA,1,Lost,4.0
"2024-12-29 - PHI 4, LA 5",PHI,41.38,55.84,31.67,34.91,17.99,17.04,3.19,3.74,2.94,2.09,21.31,28.9,12.99,8.3,10.78,2.62,2.14,1.85,8.44,20.57,1.03,6.71,1.05,0.96,23.49,24.17,6.43,7.81,0.0,0.95,0.958,2024-12-29,PHI,4,LA,5,Won,0.0
"2024-12-31 - PHI 4, SJ 0",PHI,58.87,38.85,47.96,22.89,31.1,16.8,3.22,0.0,3.17,0.71,36.79,12.35,14.74,3.35,10.13,1.63,1.08,0.0,22.39,8.85,9.7,3.76,0.0,0.0,22.72,29.32,7.91,11.21,2.17,0.0,1.103,2024-12-31,PHI,4,SJ,0,Lost,1.0
"2025-01-02 - PHI 2, VGK 5",PHI,54.16,56.68,39.34,40.75,22.03,26.59,1.06,3.84,2.7,1.86,23.78,21.81,12.26,10.51,5.95,7.69,1.06,1.86,11.68,11.4,3.12,4.05,0.0,1.92,27.64,35.92,11.74,11.77,0.0,0.0,0.903,2025-01-02,PHI,2,VGK,5,Won,1.0
"2025-01-05 - PHI 2, TOR 3",PHI,54.94,42.16,42.88,31.18,27.51,21.38,2.07,1.87,2.68,1.77,23.85,19.07,14.73,10.36,8.37,6.56,1.01,1.86,9.19,8.64,4.06,3.8,0.0,0.0,32.5,20.94,12.17,9.15,1.05,0.0,0.988,2025-01-05,PHI,2,TOR,3,Won,2.0
"2025-01-07 - TOR 3, PHI 2",PHI,44.17,44.47,35.18,29.59,22.28,16.26,0.94,2.07,2.32,2.66,20.07,19.71,8.44,5.26,5.69,5.21,0.0,2.07,11.68,14.31,5.81,4.09,0.95,0.0,26.81,32.23,10.76,5.07,0.0,0.0,0.915,2025-01-07,TOR,3,PHI,2,Lost,1.0
"2025-01-09 - DAL 4, PHI 1",PHI,43.15,58.69,32.16,35.02,19.95,22.45,0.92,3.18,1.81,2.67,18.16,27.03,8.58,14.7,4.29,8.99,0.91,2.14,9.38,12.62,4.47,4.36,0.0,0.97,27.29,40.63,7.6,8.18,0.0,0.0,0.904,2025-01-09,DAL,4,PHI,1,Lost,1.0
"2025-01-11 - ANA 0, PHI 6",PHI,55.06,32.79,37.67,25.15,26.11,17.81,3.92,0.0,1.96,1.05,24.51,14.28,8.1,3.87,7.19,1.9,3.86,0.0,16.64,10.16,6.03,4.89,0.0,0.0,34.66,22.9,10.9,8.98,0.0,0.0,1.15,2025-01-11,ANA,0,PHI,6,Won,1.0
"2025-01-13 - FLA 3, PHI 4",PHI,26.4,48.58,18.18,24.41,16.54,16.9,1.89,1.08,1.59,1.52,13.75,19.26,8.11,5.19,8.16,3.1,0.94,0.0,5.52,14.23,2.83,3.2,0.0,0.0,13.77,26.94,4.48,10.67,0.88,1.11,1.051,2025-01-13,FLA,3,PHI,4,Won,1.0
"2025-01-14 - PHI 2, CBJ 3",PHI,54.48,44.51,40.72,33.14,21.78,21.84,2.11,1.85,2.32,2.09,27.49,19.64,10.65,6.44,6.32,4.61,1.06,0.0,16.89,13.18,6.21,7.64,1.05,1.92,30.2,28.78,8.29,8.7,0.0,0.0,1.012,2025-01-14,PHI,2,CBJ,3,Won,0.0
"2025-01-16 - PHI 5, NYI 3",PHI,36.07,49.53,24.64,30.32,15.27,16.76,3.16,0.95,1.9,1.1,24.22,19.38,9.57,4.48,6.27,0.95,2.09,0.0,14.68,14.81,4.17,4.8,1.04,1.03,9.91,27.92,4.84,8.94,0.0,0.0,1.15,2025-01-16,PHI,5,NYI,3,Lost,1.0
"2025-01-18 - PHI 3, NJ 1",PHI,55.18,46.76,31.52,14.72,15.17,8.75,1.01,0.94,3.13,0.54,23.69,18.07,12.53,0.93,3.1,0.95,1.01,0.0,11.15,17.33,5.07,1.97,0.0,0.0,31.6,24.51,6.08,5.83,0.0,0.95,0.959,2025-01-18,PHI,3,NJ,1,Lost,1.0
"2025-01-21 - DET 1, PHI 2",PHI,49.42,56.44,35.25,37.58,20.47,27.38,0.94,1.01,3.03,2.06,21.2,23.48,17.14,5.26,10.47,4.22,0.94,0.0,3.86,17.98,0.97,6.07,0.0,1.06,33.99,41.36,8.88,17.05,0.0,0.0,1.009,2025-01-21,DET,1,PHI,2,Won,2.0
"2025-01-23 - PHI 1, NYR 6",PHI,57.33,60.79,41.7,41.79,31.46,33.26,1.06,3.84,2.77,2.63,21.59,27.46,13.08,9.07,10.97,7.12,1.06,1.91,8.45,18.63,7.88,8.93,0.0,1.9,43.23,35.4,12.63,12.93,0.0,0.0,0.918,2025-01-23,PHI,1,NYR,6,Won,1.0
"2025-01-24 - PHI 1, NYI 3",PHI,54.18,48.96,37.97,37.22,26.98,22.76,1.06,2.86,2.1,1.87,25.05,18.9,13.18,4.95,7.91,2.03,0.0,0.0,11.86,14.14,5.93,8.91,1.05,2.85,32.08,38.57,13.07,12.09,0.0,0.0,0.914,2025-01-24,PHI,1,NYI,3,Won,0.0
"2025-01-27 - NJ 2, PHI 4",PHI,40.14,42.59,27.77,21.72,22.32,17.11,1.97,1.0,1.5,0.84,17.77,13.5,3.02,1.07,2.03,1.05,0.99,0.0,15.26,11.93,8.38,5.74,0.98,0.0,23.67,19.36,10.9,9.21,0.0,0.94,1.03,2025-01-27,NJ,2,PHI,4,Won,2.0
"2025-01-29 - PHI 0, NJ 5",PHI,39.4,49.64,29.73,30.57,18.49,20.19,0.0,2.98,2.67,1.48,20.77,20.7,10.16,8.13,6.02,3.12,0.0,0.98,10.52,12.75,6.06,5.15,0.0,1.94,17.65,35.92,6.41,11.03,0.0,0.0,0.852,2025-01-29,PHI,0,NJ,5,Won,1.0
"2025-01-30 - NYI 3, PHI 0",PHI,51.09,41.44,31.3,32.14,19.61,23.45,0.0,2.13,1.57,1.48,23.88,16.37,10.82,5.51,4.47,3.3,0.0,1.08,12.94,10.88,5.76,5.21,0.0,1.05,27.02,29.1,8.43,15.01,0.0,0.0,0.909,2025-01-30,NYI,3,PHI,0,Lost,0.0
"2025-02-02 - PHI 0, COL 2",PHI,37.74,53.08,29.11,36.5,21.14,29.6,0.0,0.94,1.87,2.62,16.16,26.85,9.37,10.82,6.16,9.07,0.0,0.0,6.74,16.28,2.98,8.93,0.0,0.95,24.01,36.38,10.05,11.5,0.0,0.0,0.968,2025-02-02,PHI,0,COL,2,Won,2.0
