Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2024-10-08 - BOS 4, FLA 6",BOS,29.76,57.61,23.86,43.62,13.78,28.29,2.01,4.91,2.4,4.03,17.12,31.36,6.76,16.36,4.76,10.32,1.02,3.87,10.16,15.09,4.82,7.21,1.0,1.0,13.61,21.62,4.26,9.52,0.0,0.0,0.972,2024-10-08,BOS,4,FLA,6,Won,
"2024-10-10 - MTL 4, BOS 6",BOS,44.98,37.57,30.31,30.66,22.13,17.27,4.83,3.08,2.22,1.81,27.51,17.71,9.56,9.15,6.77,8.05,0.96,3.12,18.16,8.47,8.94,2.98,3.79,0.0,20.89,25.04,6.27,3.48,0.0,0.0,1.04,2024-10-10,MTL,4,BOS,6,Won,1.0
"2024-10-12 - LA 1, BOS 2",BOS,33.61,39.57,20.13,25.1,12.44,17.73,0.0,1.06,0.94,1.29,11.36,15.78,1.87,8.52,0.0,3.16,0.0,1.06,9.57,7.32,2.87,3.13,0.0,0.0,20.24,22.86,9.69,10.4,0.0,0.0,0.94,2024-10-12,LA,1,BOS,2,Won,1.0
"2024-10-14 - FLA 4, BOS 3",BOS,32.14,36.05,27.0,30.37,19.64,20.44,2.82,1.08,0.96,1.53,11.06,19.61,4.52,5.53,4.55,5.51,0.94,0.0,6.47,14.23,4.75,6.32,1.99,1.04,28.49,19.53,10.27,8.72,0.0,0.0,1.091,2024-10-14,FLA,4,BOS,3,Lost,1.0
"2024-10-16 - BOS 5, COL 3",BOS,45.93,40.17,29.38,28.19,20.66,15.56,2.11,0.0,1.67,1.74,20.82,18.94,7.68,6.41,4.35,4.57,1.06,0.0,13.37,12.21,4.31,3.69,0.0,0.0,28.05,21.4,9.84,5.43,1.12,0.0,1.102,2024-10-16,BOS,5,COL,3,Lost,1.0
"2024-10-19 - BOS 1, UHC 2",BOS,28.8,49.92,23.38,33.21,15.81,20.93,1.06,0.92,1.53,1.17,13.03,13.04,5.43,3.64,3.22,1.83,0.0,0.92,7.74,9.4,3.17,2.87,0.0,0.0,14.76,35.83,8.37,13.37,1.05,0.0,1.023,2024-10-19,BOS,1,UHC,2,Won,2.0
"2024-10-22 - BOS 0, NSH 4",BOS,35.74,54.34,26.74,40.1,22.92,30.99,0.0,1.97,1.47,2.66,12.6,23.97,6.93,7.92,6.83,3.97,0.0,0.99,5.6,16.37,0.97,5.05,0.0,0.98,20.57,35.37,11.85,20.42,0.0,0.0,0.936,2024-10-22,BOS,0,NSH,4,Won,2.0
"2024-10-24 - DAL 5, BOS 2",BOS,35.82,42.75,28.15,28.35,17.34,22.64,0.0,1.01,1.45,1.47,18.12,17.21,4.54,5.46,3.63,4.29,0.0,0.0,13.37,11.82,4.58,6.35,0.0,1.06,19.62,31.32,6.31,11.05,0.0,0.0,0.955,2024-10-24,DAL,5,BOS,2,Lost,1.0
"2024-10-26 - TOR 3, BOS 4",BOS,47.39,41.24,32.34,27.33,25.51,15.24,1.87,1.06,2.13,1.57,21.92,19.55,9.32,7.33,8.46,5.21,1.86,1.06,12.64,12.12,3.84,3.06,0.0,0.0,23.43,24.95,12.29,7.0,0.0,0.0,1.004,2024-10-26,TOR,3,BOS,4,Won,1.0
"2024-10-29 - PHI 2, BOS 0",BOS,49.67,39.35,26.5,28.6,18.08,16.9,0.0,1.06,2.29,1.85,26.02,16.01,9.09,8.68,6.38,7.56,0.0,0.0,16.88,7.41,3.84,4.16,0.0,1.05,22.67,24.39,7.8,3.13,0.0,0.0,0.937,2024-10-29,PHI,2,BOS,0,Lost,2.0
