Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2024-10-11 - TB 4, CAR 1",CAR,46.6,31.88,32.08,21.67,17.62,15.42,0.94,0.0,2.89,1.5,23.04,15.68,11.3,6.39,7.63,5.27,0.94,0.0,11.74,9.28,4.91,3.1,0.0,0.0,30.19,16.02,4.84,3.96,0.0,0.0,1.054,2024-10-11,TB,4,CAR,1,Lost,
"2024-10-15 - NJ 2, CAR 4",CAR,70.2,50.32,44.93,37.37,28.56,25.06,2.86,1.06,3.33,2.78,30.61,26.71,15.29,10.23,11.61,7.09,0.99,0.0,15.23,16.41,5.79,9.26,1.91,1.05,46.95,28.85,11.03,8.71,0.0,0.0,1.058,2024-10-15,NJ,2,CAR,4,Won,3.0
"2024-10-18 - CAR 4, PIT 1",CAR,69.67,28.35,48.19,20.35,31.96,13.85,2.06,0.94,3.53,1.05,41.05,14.63,19.81,6.29,16.37,1.81,2.08,0.0,21.36,8.25,8.33,4.65,0.0,0.95,31.87,17.71,6.45,7.39,0.0,0.0,0.996,2024-10-18,CAR,4,PIT,1,Lost,2.0
"2024-10-19 - CAR 3, STL 4",CAR,53.69,26.69,42.39,22.0,29.47,16.29,2.07,3.8,2.2,1.35,22.29,15.1,9.89,6.77,7.73,4.81,1.06,1.93,12.41,8.16,4.05,3.78,0.0,0.96,36.45,11.43,16.73,6.56,0.94,0.95,0.837,2024-10-19,CAR,3,STL,4,Won,0.0
"2024-10-22 - CAR 3, EDM 2",CAR,49.37,42.97,36.72,31.0,24.07,25.9,1.01,0.94,3.11,2.32,25.64,21.15,10.03,13.88,6.93,11.08,1.01,0.0,15.32,7.31,6.93,4.05,0.0,0.95,31.21,21.44,10.32,7.56,0.0,0.0,1.006,2024-10-22,CAR,3,EDM,2,Lost,2.0
"2024-10-24 - CAR 4, CGY 2",CAR,75.58,40.94,53.2,27.96,39.89,21.86,2.13,1.87,3.49,1.83,42.29,15.25,15.98,6.05,11.4,4.36,2.15,0.93,26.61,9.13,12.84,4.75,0.0,0.0,43.94,28.11,14.76,10.75,0.0,0.88,0.968,2024-10-24,CAR,4,CGY,2,Lost,1.0
"2024-10-26 - CAR 4, SEA 1",CAR,72.79,15.99,49.84,11.68,23.01,8.14,2.15,0.95,3.13,0.66,39.92,8.09,13.46,4.4,4.47,1.75,2.16,0.93,26.86,3.61,12.92,1.86,0.0,0.0,39.09,11.72,5.47,4.48,0.0,0.0,0.977,2024-10-26,CAR,4,SEA,1,Lost,1.0
"2024-10-28 - CAR 4, VAN 3",CAR,44.14,37.39,35.91,27.89,26.95,20.73,3.19,2.8,1.66,1.94,20.84,18.76,6.57,10.73,3.3,8.01,0.0,0.92,14.48,7.73,8.5,2.73,2.1,0.0,30.82,22.09,15.17,6.89,1.11,1.77,0.983,2024-10-28,CAR,4,VAN,3,Lost,1.0
"2024-10-31 - BOS 2, CAR 8",CAR,52.51,20.41,39.67,13.64,28.08,8.15,3.98,1.0,2.38,0.87,22.66,8.43,11.0,4.83,8.21,2.85,2.95,0.0,11.81,3.58,4.17,2.82,0.0,1.0,38.22,15.71,15.02,2.53,1.06,0.0,1.018,2024-10-31,BOS,2,CAR,8,Won,2.0
"2024-11-03 - WSH 2, CAR 4",CAR,67.22,28.31,50.47,19.27,36.18,13.11,2.81,1.06,3.27,1.64,31.67,19.66,14.78,9.51,10.91,6.26,0.92,1.06,17.05,10.14,7.9,5.04,0.95,0.0,42.07,10.04,17.31,1.1,0.95,0.0,0.997,2024-11-03,WSH,2,CAR,4,Won,2.0
"2024-11-05 - PHI 4, CAR 6",CAR,70.62,32.46,52.74,24.43,27.4,14.24,4.74,3.04,3.91,1.79,31.6,19.68,14.1,9.55,9.46,5.21,3.79,1.01,17.48,10.12,5.85,4.06,0.95,1.06,41.59,12.96,10.94,4.0,0.0,0.93,0.96,2024-11-05,PHI,4,CAR,6,Won,1.0
"2024-11-07 - PIT 1, CAR 5",CAR,42.95,49.53,29.09,35.72,16.07,23.0,4.91,1.0,1.5,2.65,19.81,24.85,8.15,8.72,4.09,6.68,1.92,0.0,11.84,15.83,4.14,8.71,0.94,1.0,24.69,24.58,5.68,6.0,2.13,0.0,1.262,2024-11-07,PIT,1,CAR,5,Won,1.0
"2024-11-09 - CAR 4, COL 6",CAR,42.91,39.81,34.79,29.0,20.35,18.69,3.15,2.79,1.87,2.11,15.8,21.4,9.66,9.02,8.47,7.24,2.09,2.78,6.23,12.3,1.07,4.78,0.0,0.0,29.92,23.29,9.59,6.51,1.11,0.0,1.005,2024-11-09,CAR,4,COL,6,Won,1.0
"2024-11-11 - CAR 5, VGK 2",CAR,62.97,40.32,49.63,28.03,28.91,23.84,3.22,0.92,2.88,1.38,30.28,13.63,13.46,6.75,7.71,5.02,2.14,0.0,17.16,6.69,6.51,5.28,1.04,0.96,33.77,27.04,11.54,12.44,0.0,0.0,1.073,2024-11-11,CAR,5,VGK,2,Lost,1.0
"2024-11-13 - CAR 1, UHC 4",CAR,65.89,44.71,46.07,29.75,31.05,19.98,0.0,3.86,3.22,2.31,36.84,18.54,16.67,5.9,11.28,5.03,0.0,0.96,20.05,12.73,6.07,8.79,0.0,2.84,38.81,20.04,12.91,5.02,0.0,0.0,0.807,2024-11-13,CAR,1,UHC,4,Won,1.0
"2024-11-16 - OTT 0, CAR 4",CAR,43.44,32.51,30.63,27.42,18.24,14.19,0.94,0.0,1.58,1.69,21.18,17.5,4.8,7.91,4.86,3.88,0.0,0.0,16.74,9.4,4.03,5.79,0.0,0.0,30.03,18.35,9.4,4.63,0.95,0.0,1.052,2024-11-16,OTT,0,CAR,4,Won,2.0
"2024-11-17 - STL 1, CAR 4",CAR,63.39,42.43,45.84,36.32,19.21,29.53,2.92,1.06,2.47,2.62,31.57,25.36,10.94,13.48,5.05,11.25,0.94,1.06,20.72,11.81,6.83,6.14,1.92,0.0,37.71,23.45,6.36,11.92,0.0,0.0,1.116,2024-11-17,STL,1,CAR,4,Won,0.0
"2024-11-20 - CAR 4, PHI 1",CAR,88.81,24.46,64.27,19.02,39.03,10.87,4.24,0.92,4.49,1.13,47.33,10.96,20.16,4.57,8.95,2.72,2.15,0.0,27.48,6.31,11.76,1.81,1.05,0.0,40.27,17.23,16.09,6.28,1.05,0.89,1.024,2024-11-20,CAR,4,PHI,1,Lost,2.0
