Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO,Date,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,days_of_rest
"2024-10-09 - COL 4, VGK 8",COL,44.67,33.05,31.46,23.35,24.6,17.13,3.09,4.83,1.79,1.19,18.06,14.8,6.18,3.82,4.07,2.84,0.0,0.94,11.64,11.18,4.98,6.96,2.08,2.86,27.42,15.71,14.39,4.15,0.93,0.89,0.844,2024-10-09,COL,4,VGK,8,Won,
"2024-10-12 - CBJ 6, COL 4",COL,49.26,45.16,32.55,31.19,20.38,22.0,0.95,5.34,2.03,1.83,22.96,23.27,10.54,13.44,7.83,7.79,0.93,2.14,12.08,10.03,1.81,6.42,0.0,1.05,28.63,24.93,9.62,7.96,0.0,2.22,0.804,2024-10-12,CBJ,6,COL,4,Lost,2.0
"2024-10-14 - NYI 6, COL 2",COL,52.07,55.52,37.07,40.73,26.3,34.11,1.86,4.19,2.5,2.9,26.26,26.07,12.69,13.05,8.16,11.93,0.94,4.22,13.33,13.18,6.48,5.37,0.0,0.0,31.03,33.74,9.72,15.7,0.88,0.0,0.948,2024-10-14,NYI,6,COL,2,Lost,1.0
"2024-10-16 - BOS 5, COL 3",COL,40.17,45.93,28.19,29.38,15.56,20.66,0.0,2.11,1.74,1.67,18.94,20.82,6.41,7.68,4.57,4.35,0.0,1.06,12.21,13.37,3.69,4.31,0.0,0.0,21.4,28.05,5.43,9.84,0.0,1.12,0.898,2024-10-16,BOS,5,COL,3,Lost,1.0
"2024-10-18 - ANA 3, COL 4",COL,71.42,38.33,46.62,26.47,31.79,15.75,1.89,2.13,3.13,1.85,30.35,20.27,17.19,6.5,10.86,5.39,0.93,2.14,12.91,13.83,5.73,3.17,0.95,0.0,51.5,18.07,13.02,6.08,0.0,0.0,0.924,2024-10-18,ANA,3,COL,4,Won,1.0
"2024-10-20 - COL 4, SJ 1",COL,39.74,38.39,27.48,23.59,16.36,14.62,2.15,0.0,1.5,1.09,24.21,14.36,7.82,4.4,5.57,1.77,2.16,0.0,16.63,9.8,5.38,1.86,0.0,0.0,14.15,24.37,4.32,9.11,0.0,0.0,1.132,2024-10-20,COL,4,SJ,1,Lost,1.0
"2024-10-22 - COL 3, SEA 2",COL,55.4,56.98,38.83,34.3,25.8,18.8,2.11,0.92,2.73,2.37,29.41,25.65,11.11,10.7,6.66,3.65,1.06,0.92,18.44,14.88,7.44,4.86,0.0,0.0,27.32,36.81,10.68,9.19,1.05,0.0,1.033,2024-10-22,COL,3,SEA,2,Lost,1.0
"2024-10-24 - COL 5, UHC 1",COL,37.36,42.15,27.91,27.53,22.07,18.09,3.21,0.92,1.7,1.27,14.47,17.87,4.5,6.64,4.5,6.59,1.07,0.91,10.08,10.98,4.27,2.75,1.04,0.0,23.73,29.91,12.28,7.61,1.12,0.0,1.095,2024-10-24,COL,5,UHC,1,Lost,1.0
"2024-10-27 - OTT 4, COL 5",COL,72.31,47.0,46.16,37.75,28.58,23.24,2.92,3.04,3.41,2.22,38.97,21.87,14.77,9.06,7.96,7.98,0.94,2.05,24.57,12.6,9.98,3.93,1.88,1.02,33.27,23.54,7.27,9.25,0.0,0.0,0.971,2024-10-27,OTT,4,COL,5,Won,2.0
"2024-10-28 - CHI 5, COL 2",COL,35.85,45.01,19.95,28.31,12.77,21.72,0.92,2.13,1.06,2.32,17.06,22.95,5.35,15.45,3.55,8.81,0.0,2.14,11.46,7.74,2.79,5.32,0.96,0.0,25.31,23.06,6.38,7.76,0.0,0.0,0.974,2024-10-28,CHI,5,COL,2,Lost,0.0
"2024-10-30 - TB 5, COL 2",COL,41.27,39.31,27.96,30.65,23.05,19.04,0.92,4.23,1.93,2.29,19.48,22.68,10.88,9.09,10.81,4.53,0.0,2.14,8.33,13.78,1.81,3.2,0.0,2.09,22.18,12.91,8.23,8.1,0.88,0.0,0.818,2024-10-30,TB,5,COL,2,Lost,1.0
"2024-11-02 - COL 2, NSH 5",COL,49.86,45.29,30.38,31.96,24.13,20.96,0.0,0.94,1.28,2.47,19.64,18.66,5.3,13.58,5.25,6.84,0.0,0.94,14.18,4.91,5.13,1.97,0.0,0.0,31.11,29.09,12.38,10.07,0.0,0.0,0.955,2024-11-02,COL,2,NSH,5,Won,2.0
"2024-11-05 - SEA 3, COL 6",COL,45.11,35.41,26.86,22.76,18.55,13.23,1.89,1.01,1.11,1.32,21.1,14.61,4.89,7.92,4.01,3.91,0.94,1.01,16.52,6.63,6.99,1.95,0.95,0.0,19.09,20.41,5.31,6.33,0.0,0.0,1.025,2024-11-05,SEA,3,COL,6,Won,2.0
"2024-11-07 - COL 0, WPG 1",COL,62.8,45.01,48.26,30.98,31.85,24.77,0.0,0.94,3.03,1.62,34.84,16.02,11.03,4.92,7.93,2.96,0.0,0.94,23.44,11.26,10.03,4.99,0.0,0.0,31.79,36.21,11.08,16.15,0.0,0.0,0.962,2024-11-07,COL,0,WPG,1,Won,1.0
"2024-11-09 - CAR 4, COL 6",COL,39.81,42.91,29.0,34.79,18.69,20.35,2.79,3.15,2.11,1.87,21.4,15.8,9.02,9.66,7.24,8.47,2.78,2.09,12.3,6.23,4.78,1.07,0.0,0.0,23.29,29.92,6.51,9.59,0.0,1.11,0.995,2024-11-09,CAR,4,COL,6,Won,1.0
"2024-11-11 - NSH 2, COL 3",COL,50.88,58.8,33.34,36.53,23.97,24.94,1.87,1.01,1.79,3.37,21.6,30.77,5.61,17.03,4.73,8.3,0.0,1.01,15.94,13.92,6.7,8.39,0.0,0.0,29.08,30.08,10.67,8.37,1.84,0.0,1.037,2024-11-11,NSH,2,COL,3,Won,1.0
"2024-11-13 - LA 2, COL 4",COL,52.08,34.73,35.28,21.61,22.74,13.11,2.79,2.11,2.52,1.41,21.45,9.33,12.16,5.32,7.46,3.1,1.84,2.12,9.07,4.02,5.66,2.03,0.95,0.0,32.5,24.41,9.61,6.91,0.0,0.0,0.962,2024-11-13,LA,2,COL,4,Won,1.0
"2024-11-15 - WSH 5, COL 2",COL,47.56,44.09,30.59,28.99,15.37,18.79,1.89,3.21,0.99,0.95,19.42,13.24,2.67,3.37,1.81,2.23,0.93,1.08,16.36,10.0,4.54,5.37,0.0,2.09,37.51,30.59,9.0,7.96,0.95,0.0,0.952,2024-11-15,WSH,5,COL,2,Lost,1.0
"2024-11-18 - COL 3, PHI 2",COL,58.77,35.09,30.5,24.55,22.14,18.34,1.06,1.87,1.82,1.39,28.81,19.03,6.51,7.22,5.41,4.5,0.0,0.93,22.23,11.63,9.44,3.71,1.05,0.0,38.7,18.71,7.27,9.19,0.0,0.88,0.946,2024-11-18,COL,3,PHI,2,Lost,2.0
"2024-11-21 - COL 2, WSH 1",COL,50.21,38.19,33.99,24.9,24.68,16.39,1.06,0.94,2.38,1.63,29.16,17.79,12.7,9.37,9.48,3.85,1.06,0.94,16.43,8.25,9.29,3.78,0.0,0.0,21.46,21.34,6.08,5.83,0.0,0.0,0.985,2024-11-21,COL,2,WSH,1,Lost,2.0
"2024-11-23 - COL 7, FLA 4",COL,46.95,47.19,30.71,32.23,23.17,20.07,6.25,2.8,1.77,1.87,17.08,17.61,8.52,5.43,6.21,3.5,3.09,1.85,8.63,12.18,5.23,3.82,2.02,0.0,29.74,31.82,11.97,11.69,1.11,0.95,1.13,2024-11-23,COL,7,FLA,4,Lost,1.0
"2024-11-25 - COL 2, TB 8",COL,39.0,61.36,26.34,45.96,20.09,29.06,2.02,4.92,1.91,3.37,19.88,29.26,8.76,13.2,6.72,7.34,1.04,1.96,10.89,16.28,5.73,10.52,1.0,1.95,21.73,44.24,7.58,9.91,0.0,1.06,0.931,2024-11-25,COL,2,TB,8,Won,1.0
"2024-11-27 - VGK 1, COL 2",COL,69.72,38.13,43.49,24.77,24.23,16.45,0.92,1.06,2.56,1.31,38.01,15.73,14.9,5.33,3.72,3.16,0.92,0.0,23.17,10.34,9.71,4.11,0.0,0.0,31.23,20.48,9.86,8.11,0.0,1.05,0.974,2024-11-27,VGK,1,COL,2,Won,1.0
"2024-11-29 - COL 3, DAL 5",COL,38.55,37.7,28.87,20.77,20.23,11.36,2.02,1.93,2.21,1.34,23.58,15.93,9.21,4.86,5.1,2.96,0.0,1.93,13.97,11.29,6.78,3.99,2.02,0.0,20.47,20.36,7.42,3.28,0.0,0.0,0.93,2024-11-29,COL,3,DAL,5,Won,1.0
"2024-11-30 - EDM 4, COL 1",COL,37.15,46.44,28.4,33.9,21.65,26.19,0.0,3.14,1.69,2.13,18.62,24.48,6.56,10.64,2.72,8.37,0.0,2.07,11.91,13.99,7.62,9.55,0.0,0.0,19.74,25.29,10.3,7.32,0.0,1.11,0.88,2024-11-30,EDM,4,COL,1,Lost,0.0
"2024-12-03 - COL 5, BUF 4",COL,65.24,55.79,56.13,38.41,37.73,26.77,5.09,3.91,3.03,2.9,36.59,29.96,8.82,15.07,6.78,11.34,3.12,2.88,27.06,14.99,14.55,5.24,2.06,0.94,34.41,32.88,14.44,8.84,0.0,0.0,0.989,2024-12-03,COL,5,BUF,4,Lost,2.0
